Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”,Name: “Table 1 of 1 on page 43 of 116”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,
,,,Address Street Flooding Citywide,Address Street Flooding Citywide,Address Street Flooding Citywide,Address Street Flooding Citywide,Address Street Flooding Citywide,,,
Department,Department,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,Provide funds to address larger street flooding issues,Provide funds to address larger street flooding issues,Provide funds to address larger street flooding issues,Provide funds to address larger street flooding issues,
,,,,,,throughout the city. Activities will include a comprehensive,throughout the city. Activities will include a comprehensive,throughout the city. Activities will include a comprehensive,throughout the city. Activities will include a comprehensive,throughout the city. Activities will include a comprehensive
Account #,Account #,,,,,review of street flooding and priority setting. These projects,review of street flooding and priority setting. These projects,review of street flooding and priority setting. These projects,review of street flooding and priority setting. These projects,review of street flooding and priority setting. These projects
4000 10 4101,4000 10 4101,,,,,supplement the Storm Water fund capital improvement,supplement the Storm Water fund capital improvement,supplement the Storm Water fund capital improvement,supplement the Storm Water fund capital improvement,
,,,,,,"programs to address specific concerns. Additionally, these","programs to address specific concerns. Additionally, these","programs to address specific concerns. Additionally, these","programs to address specific concerns. Additionally, these","programs to address specific concerns. Additionally, these"
,,,,,,projects will correct minor to moderate flooding concerns,projects will correct minor to moderate flooding concerns,projects will correct minor to moderate flooding concerns,projects will correct minor to moderate flooding concerns,
,,,,,,from citizens that are compiled by the Department of Public,from citizens that are compiled by the Department of Public,from citizens that are compiled by the Department of Public,from citizens that are compiled by the Department of Public,from citizens that are compiled by the Department of Public
Customers Served,Customers Served,,,,,Works and addressed systematically as funding becomes,Works and addressed systematically as funding becomes,Works and addressed systematically as funding becomes,Works and addressed systematically as funding becomes,
,,,,,,available.,,,,
Residents,v,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"1,500,000","1,500,000","1,500,000",0,0,0,"3,000,000"
FY 2012 Approved,FY 2012 Approved,"1,500,000","1,500,000","1,500,000","1,500,000","1,500,000",0,0,N/A,"4,500,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"6,200,000",
Construction,Construction,,,"1,500,000","1,500,000",FY 2013 Approved,FY 2013 Approved,,"1,500,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"1,500,000",
,,Total,,"1,500,000","1,500,000",Project Total,,,"9,200,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,Environmental Sustainability CIP - 423,Environmental Sustainability CIP - 423,Environmental Sustainability CIP - 423
