Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”,Name: “Table 1 of 1 on page 6 of 11”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,
,City of Portsmouth,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural","Parks, Recreation, and Cultural",,,
,Law Library Fund,,,,
Business Unit Mission Statement,,,,,
"To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of the","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of the","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of the","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of the","To ensure that current and accurate legal resources are accessible to the general public, local business owners, members of the",
"legal profession and the courts, for the research and practice of law.","legal profession and the courts, for the research and practice of law.",,,,
Description of Services Provided,,,,,
"The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist","The Law Library maintains the City, State and Federal Code publications, along with specialized state resources which assist",
patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,patrons with individual research of legal matters. The Law Library offers Westlaw Patron Access Online Services and Nolo,
self-help publications.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Other Operating Expenses,,"26,411","31,026","31,026","31,026"
,Net Budget,"26,411","31,026","31,026","31,026"
,Total Budget,"26,411","31,026","31,026","31,026"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
405 Public Law Library Fund,,"26,411","31,026","31,026","31,026"
,Total Funding,"26,411","31,026","31,026","31,026"
Strategic Goals,,,,,
* To provide more access to these specialized resources to the patrons who need them.,* To provide more access to these specialized resources to the patrons who need them.,,,,
Outcomes and Accomplishments,,,,,
"The law library has been relocated within the renovated part of Main Library, providing better access throughout operating hours.","The law library has been relocated within the renovated part of Main Library, providing better access throughout operating hours.","The law library has been relocated within the renovated part of Main Library, providing better access throughout operating hours.","The law library has been relocated within the renovated part of Main Library, providing better access throughout operating hours.","The law library has been relocated within the renovated part of Main Library, providing better access throughout operating hours.",
Fiscal Year 2014,11 - 6,,,"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural"
