,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural",
,Business Center Index,
Organizational Chart,,11 - 2
Business Center Summary,,11 - 3
Museums,,11 - 4
Public Library,,11 - 5
Law Library Fund,,11 - 6
Golf Services Fund,,11 - 7
"Parks, Recreation and Leisure Services - Administration","Parks, Recreation and Leisure Services - Administration",11 - 8
"Parks, Recreation and Leisure Services - Parks","Parks, Recreation and Leisure Services - Parks",11 - 9
"Parks, Recreation and Leisure Services - Recreation","Parks, Recreation and Leisure Services - Recreation",11 - 10
Recreation Fund,,11 - 11
Fiscal Year 2014,11 - 1,"Parks, Recreation, and Cultural"
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural",
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,124,
,Museums,
,Positions =,25
,Public Library,
,Positions =,29
,Golf Services Fund,
,Positions =,17
,"Parks, Recreation and Leisure Services - Administration","Parks, Recreation and Leisure Services - Administration"
,Positions =,53
,Recreation Fund,
,Positions =,-
Fiscal Year 2014,11 - 2,"Parks, Recreation, and Cultural"
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
"Parks, Recreation, and Cultural","Parks, Recreation, and Cultural","Parks, Recreation, and Cultural",,,
Description of Services Provided,,,,,
"The Parks, Recreation and Cultural business center includes the departments of Parks, Recreation and Leisure Services,","The Parks, Recreation and Cultural business center includes the departments of Parks, Recreation and Leisure Services,","The Parks, Recreation and Cultural business center includes the departments of Parks, Recreation and Leisure Services,","The Parks, Recreation and Cultural business center includes the departments of Parks, Recreation and Leisure Services,","The Parks, Recreation and Cultural business center includes the departments of Parks, Recreation and Leisure Services,",
"Museums, Golf and the Public Library (to include the Law Library) which addresses the City's recreational, educational and","Museums, Golf and the Public Library (to include the Law Library) which addresses the City's recreational, educational and","Museums, Golf and the Public Library (to include the Law Library) which addresses the City's recreational, educational and","Museums, Golf and the Public Library (to include the Law Library) which addresses the City's recreational, educational and","Museums, Golf and the Public Library (to include the Law Library) which addresses the City's recreational, educational and",
"cultural needs. Services provided include educational exhibits, access to a comprehensive collection of library materials,","cultural needs. Services provided include educational exhibits, access to a comprehensive collection of library materials,","cultural needs. Services provided include educational exhibits, access to a comprehensive collection of library materials,","cultural needs. Services provided include educational exhibits, access to a comprehensive collection of library materials,","cultural needs. Services provided include educational exhibits, access to a comprehensive collection of library materials,",
"excellent golf facilities and coordinated programs, and high quality recreation programs and facilities for use by the citizens of","excellent golf facilities and coordinated programs, and high quality recreation programs and facilities for use by the citizens of","excellent golf facilities and coordinated programs, and high quality recreation programs and facilities for use by the citizens of","excellent golf facilities and coordinated programs, and high quality recreation programs and facilities for use by the citizens of","excellent golf facilities and coordinated programs, and high quality recreation programs and facilities for use by the citizens of",
Portsmouth.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Business Units,,Actual,Adopted,Amended,Adopted
Golf Services Fund,,"2,218,730","2,570,831","2,570,831","2,623,588"
Law Library Fund,,"26,411","31,026","31,026","31,026"
