,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2011 PROCUREMENT SYSTEM REVIEW,,,,,,,,,
CORRECTIVE ACTION TRACKING MATRIX,,,,,,,,,
ITEM No.,ELEMENT,SYSTEM DEFICIENCY,BEST PRACTICES/ADVISORY COMMENTS ,CORRECTIVE ACTION,BPPM REF,PPM REF,MILESTONE DATE,RESPONSIBLE PARTY,Status
1,"1 - Written Standards of Conduct  [FTA C 4220.1F, ¶ III, 1.a.,b.,&c.] ","The HRT Personnel Manual contains most of the required conflict of interest coverage. It needs to be expanded to include the underlined portion of the personal conflicts of interest paragraph above (Personal Conflicts of Interest, Gifts, and Violations).","Within 30 days of the date of this report HRT should amend its Personnel Manual to include the expanded coverage of who may not participate in the selection, award, or administration of a contract supported with FTA assistance. It is also advised that HRT should, on an annual basis, require all employees who participate in the procurement process to sign an assurance that they have read, understand, and will comply with HRT’s personal conflicts of interest policy. ","1. The Personnel Manual will be amended to include expanded coverage of  Personal Conflicts of Interest, Gifts, and Violations, identifying who  may not participate in the selection, award, or administration of a contract supported with FTA assistance.  

2. On an annual basis, HRT will require all employees who participate in the procurement process to sign a certification that they have read, understand, and will comply with HRT’s personal conflicts of interest policy.  

3. Should it be determined that a personal conflict of interest exists, a process will be implemented to neutralize or mitigate the conflict, i.e. a change in personnel assignment.
",N/A,N/A,6/20/2011,K. Burnette,Open
2,"Element 2 – Contract Administration System [FTA C 4220.1F, ¶ III. 3.]","HRT does not have a documented contract administration system. Contract administration is a shared function between the program offices and the administrative office that has contract authority. However, specific responsibilities and duties for contract administration are not made specifically clear. 

Reporting and recording requirements are not specified. Contract administration duties such as tracking contract deliverables, schedules, progress payments with required incurred cost documentation, insurance, inspections, warranties, etc. are not specified. 

Program personnel are not informed of their authority or lack of authority to make changes to the contract or to direct the contractor within the scope of the contract. ","Within 120 days of the date of this report HRT should develop and implement a contract administration system (Manual) to ensure that it and its third party contractors comply with the terms, conditions, and specifications of their contracts or purchase orders and applicable Federal, State and local requirements. 

The Contract Administration Manual should cover all contract administration functions from contract award thru to contract close-out. It should describe each function and a system for assigning responsibility for its accomplishment, recordkeeping and reporting. 

A system for delegating contracting authority and setting the limits of that authority should be included in the Manual. [One effective method of assigning such responsibilities and also controlling the use of contracting officer authority is to use a letter of delegation to the employee responsible for the administration of a specific contract. The letter should list all functions the employee is responsible for and describe what contractual actions he or she may and may not take.  A place is provided on the letter for the employee to also sign and date his or her receipt of the delegation.



","A contract administration  system will be fully implemented within the Procurement department, to implement procedures and  management controls.   The procurement procedures manual will be amended to document the system requirements to include the following:

A. incorporation of all contract administration functions from pre-solicitation planning to contract award and administration through close out; 

B. expansion the contracting authority delegations to include contract administration personnel through  the use of a standard letter of delegation listing all functions of responsibility and describing allowed contractual actions by the contract administrator. The designee will be required to sign the letter, which will become permanent procurement record;

C. implementation of a written requisition for initiating all new procurement actions, identifying  the project manager, funding source,  scope of work, and independent cost estimate or identification of the esimator responsible for the independent cost estimate;  ",,,9/11/2011,Henry Li                   D. Purcell,Open
,,,"The Manual should include an effective “Change Control System” which ensures that all contract changes are priced and definitized in a timely manner. If a change cannot be priced before issuance because of some urgency, strict time limits should be set for the submission of the contractor’s price proposal and negotiation of the final contract modification. This will prevent the contract modification from becoming a cost-plus-percentage-of-cost arrangement. Such an arrangement exists when a product modification is priced after the work is performed and profit is allowed as a percentage of cost. ","D. a detailed review and written approval of solicitations and supporting contract administration files;  

E. a change control system to ensure contract modifications are priced, negotiated and executed in compliance with regulations,  and in a timely manner.  

F. Issuance of contract administration and project management delegation letters for each contract, which details the responsibilities and authority in the administrative and technical management of the contract.  The delegation letters will be maintained the in the official contract file.",,,,,
,,,,"Bi-weekly departmental training sessions will be used to implement  contracts administration functonal training, beginning with the deficiencies noted in the 2011 PSR and  continuing with ongoing training regarding the procurement process.  The amended procurement procedures manual  and the FTA Best Practices Procurement Manual will be used as training guides.",,,,,
3,"Element 3 – Written Protest Procedures [FTA C 4220.1F, ¶ VII,1.a.(2)]",HRT’s policies and procedures regarding protests were not clear with respect to these reporting requirements. ,Within 30 days of the date of this report HRT should amend its protest procedures to direct its employees to notify FTA of protests involving FTA funded contracts. Such procedures should include the information required by FTA Circular 4220.1 F. ,The Protest section of the procurement procedures manual  will be expanded to further clarify  and fully detail role and responsibilities regarding reporting and resolving  protests.  The contract administration system will implement procedures and management controls to ensure compliance.,,,6/20/2011,D. Purcell,Open
4,"Element 6 – Procurement Policies and Procedures [FTA C 4220.1F, ¶ III. 3.a.]","The following FTA requirements, listed by the FTA Circular paragraph number, were either not found or needed clarification:  1. “Organizational Conflicts of Interest.  [HRT’s policies and procedures contained a definition of organizational conflict of interest but did not provide guidance on how to mitigate or eliminate such conflicts in its contracting.]   Architectural Engineering (A&E) Services and Other Services.   [HRT’s policies and procedures do not clearly define the applicability of, and prohibitions regarding, qualifications-based procurement procedures relative to services such as program management, feasibility studies, preliminary engineering, design, surveying, mapping that do not lead directly to construction.]  [HRT’s policies and procedures regarding bonds contain a reference to the Virginia Public Procurement Act threshold for bonds at $250,000. It is not clear that all FTA assisted construction projects must be bonded above the small purchase threshold of $100,000.]  The review found a standard contract clause used in Invitations for Bids which stated that “The Commission may award to other than the low bidder.” 
",Within 30 days of the date of this report HRT should develop and implement policies and procedures that include the FTA Circular requirements shown above.,"The procurement procedures manual will be expanded to include checklists and templates notes above, to ensure conformance to Virginia Public Procurement Act and FTA Circular 4220.1F.  Standard clauses (general conditions) for invitations for bid and requests for proposals will be developed, to include mandatory federal requirements,  in compliance with C 4220.1F, to implement procedures and management controls.  The procurement procedures manual also will be expanded to include: 

1. Guidance on Organizational Conflicts of Interest; 

2. Clarifications regarding prohibitions of qualifications based procurement procedures outside of construction; 

3. Clarification that bonds are required for construction contracts above $100,000.
",,,6/20/2011,D. Purcell,Open
,,"[This is not appropriate for IFB’s. If the contractor is the low bidder and is determined to be responsive and responsible, the award must be made to that contractor. If other evaluation criteria are necessary, IFB is not the appropriate procurement method.] ",,,,,,,
5,Element 7 - Independent Cost Estimate ,"We reviewed 29 procurement files involving request for proposals, invitation for bids, sole source procurements and small purchases and found 20 files lacked supporting documentation indicating an adequate independent cost estimate had been performed by the recipient before the transit authority received bids or proposals. Our review found the recipient does not use a formal procurement requisition form to initiate the procurement process. This form is generated by the requiring organization. The independent cost estimate must be received before receipt of proposals and supported with detailed information as to its development and/or source; in other words how derived and by whom. The independent cost estimate becomes the first step in the cost/price reasonableness analysis. In the deficient procurement files, the in-house estimates were either not found or were budgetary type numbers without details to support the numbers or the origin of the numbers.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure that one of the first steps to be taken in connection with every procurement action is an independent cost or price estimate. This independent estimate should be completed before receiving bids or proposals and should be maintained in the official contract file. The Best Practices Procurement Manual Section 2.3.2 states “A final purpose of the independent cost estimate is for price analysis. Either a cost or price analysis is required for every contract and every change order so that the essential objective of a reasonable price is assured. The adequacy of the price or cost analysis is a critical responsibility of the contracting official. In many contract awards the bids alone may be adequate to assure a reasonable price. However, in all negotiated procurements, most contract changes, and sealed bids where price competition was not sufficient, further analysis is required. An independent cost estimate prepared before receipt of offers is invaluable in these circumstances. ","Standard procedures and  management controls will be implemented to require assignment of the independent cost estimator prior to beginning any  procurement action.  

Independent cost estimates shall be required to be completed prior to receipt of bids / proposals, and supported with detailed information as to its development and source.   

The independent cost estimate which will be maintained in the official contract file will be used as the first step in the  cost / price analysis.  

The procurement procedures manual will be expanded to include detailed implementation and guidance of the required process.  Training will be implemented, as required.",,,6/20/2011,D. Purcell,Open
,,,"The estimate alone may, if prepared with sufficient detail and reliability in the contracting official’s judgment, be sufficient to determine whether the price is reasonable. It will at least supplement other pricing data in making the determination of reasonableness. Because cost analysis can be time consuming, expensive, and raise disputes, the availability of an independent pre-bid estimate which enables price analysis and obviates cost analysis is worth material pre-bid effort.”",,,,,,
6,Element 13 - Brand Name Restrictions ,"We reviewed five procurement files involving small purchases, request for proposals, invitation for bids, and sole source procurements using brand names and found two procurement files failed to cite an or equal or a description of the salient physical or functional characteristics needed. If only a brand name was required the files did not contain properly approved sole source justifications.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure that when using “brand name or equal” purchase descriptions will carefully identify the recipient’s minimum needs and clearly set forth those salient physical and functional characteristics of the brand name product in the solicitation. When using a ""brand name"" specification, the recipient does not need to reverse-engineer a complicated part to identify precise measurements or specifications in order to describe its salient characteristics. FTA's ""Best Practices Procurement Manual,"" (BPPM) contains additional information on preparation of specifications including examples with specific language.","Standard procedures and management controls  will be implemented to establish and used standard general terms and conditions.  The general terms and conditions will  include a standardized brand name or equal clause.  

A management control procedure will be implemented to review  solicitations in detail, prior to issuance, to ensure compliance.  

The review process will include ensuring that when using a brand name or equal specification,  the solicitation specifications clearly identify minimum needs and salient physical and functional characteristics of the brand named product.  The FTA Best Practices Manual will be used as a guide.",,,6/20/2011,D. Purcell,Open
7,Element 18 - Award to Responsible Contractors ,"We reviewed 27 procurement files involving request for proposals, invitation for bids, and sole source procurement and found four files lacked documentation that would indicate a determination had been made that the successful contractor was considered responsible prior to making the award. It should be noted in those files where the recipient had evaluated such responsibility matters as part of the evaluation and award process we found the recipient not deficient. The deficient procurement files lacked a written determination or any indication this issue had been considered.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure that awards are made only to responsible contractors. The contractor must be considered responsible in order to receive an award regardless of the procurement method used to select the contractor. To be considered responsible, a contractor must meet all the following requirements:  (a) Financial resources adequate to perform the contract, or the ability to obtain them, (b) Ability to meet the required delivery or performance schedule, taking into consideration all existing commercial and government business commitments, (c) A satisfactory performance record, (d) A satisfactory record of integrity and business ethics, (e) The necessary organization, experience, accounting, and operational controls, and technical skills, or the ability to obtain them, (f) Compliance with applicable licensing and tax laws and regulations, (g) The necessary production, construction, and technical equipment and facilities, or the ability to obtain them, 
(h) Compliance with Affirmative Action and Disadvantaged Business Program requirements and, (i) Other qualifications and eligibility criteria necessary to receive an award under applicable laws and regulations.   ","Procedures and management controls  will be implemented to include a responsibility review check list, which will be used for all contractor evaluations prior to award of a contract.  The checklist will require review and confirmation of the following:  

1. Excluded parties list; 
2. Certificate of insurance and surety; 
3. Disadvantages Business Enterprise participation goals;
4. Financial resources;
5. Bonds
6. Technical qualifications and experience
7. Past performances, to ensure ability to maintain schedule and completion of work; 
8. Integrity and business ethics; 
9. Operational experience and capability; 
10. History of compliance with regulations and requirements
11. Applicable licensing and certifications; 
12. Other verifications as may be deemed appropriate.  
Where appropriate,  the written record will state the specific basis for a responsibility determination. When an offer is rejected because the prospective contractor is found to be not responsible, a signed determination of non-responsibility, stating the basis for the determination, with all supporting documentation, will be maintained in the official contract file. 
",,,6/20/2011,D. Purcell,Open
,,,"While the award of a contract itself can in some instances be considered as implicit affirmation that a contractor has been determined to be responsible, where appropriate the written record should state the specific basis for a responsibility determination. When an offer, on which an award would otherwise be made, is rejected because the prospective contractor is found to be not responsible, the recipient should make, sign, and place in the file a determination of non-responsibility, which states the basis for this determination. Documents and reports supporting a determination of responsibility or non-responsibility, including any pre-award survey reports, should be included in the contract file.",,,,,,
8,Element 19 - Sound and Complete Agreement ,"We reviewed 28 procurement files involving request for proposals, invitation for bids, and sole source to determine if the resulting contract (s) formed a sound and complete agreement. Twenty-seven procurement files were found to be adequate in meeting the requirements for this element and one procurement file was found deficient. In that particular procurement file, the contract had been allowed to lapse and the requirement was continued by the issuance of multiple purchase orders without the benefit of a contract supported by all the FTA required sole source approval and procurement documentation.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure its requirements are covered by a contract that any resultant award is a sound and complete agreement and reflects the understandings of the parties. The contract should take precedence over all other contract documents. Where applicable, the contract or award documents must include all terms and conditions, the negotiated contract price and payment terms, the final statement of work or specification, the delivery schedules and the required clauses including termination for cause and termination for convenience and the basis for settlement. This document should be, as nearly as possible, a stand-alone document in which all the applicable attachments and exhibits are part of the award. A requirement for management review of proposed contracts is a good method of assuring the completeness and soundness of contracts.","All contracts require approval in accordance with the procurement procedures manual.  

All contracts will be reviewed by management prior to approval of the contract for issuance.  standard procedures and  management controls  will be implemented to track all open contracts, to include maintaining visibility and management of  contract  periods of performance. 

 The management system will ensure that procurement requirements are covered by a sound and complete contract.  Within 90 days prior to contract expiration, the project manager will be notified by the contract administrator, to begin closeout of the expiring contract and planning for any  continued requirements.  

New competitive procurements will be enacted for all continuing requirements.   Where interim purchase orders become necessary, they will be supported by FTA required sole source justifications, documentation and approvals, which will be maintained in the official contract file.",,,6/20/2011,D. Purcell,Open
9,Element 21 - Fair and Reasonable Price Determination ,We reviewed 11 procurement files involving micro-purchases and found four procurement files did not contain the required minimum documentation stating the price was fair and reasonable and how the determination was derived.,"Within 30 days after the date of this report the recipient should develop procedures and implement management controls to ensure that all micro-purchase procurement files contain minimum documentation that the price is fair and reasonable. For micro-purchases a fair and reasonable price determination is made based on price analysis. The Best Practices Procurement Manual, Section 5.2, provides some common price analysis techniques as follows:  1. Comparison of proposed prices received in response to the solicitation. 
2. Comparison of prices received with prior procurement actions for the same or similar end items. Prior price comparison may be affected by:  Changes in economic conditions between the times of the two procurements; 
3. Differences in quantities; 
4. Inclusion of nonrecurring cost in the prices. To make a fair comparison, nonrecurring costs can be removed from both prices. 
5. Comparison with competitive published price lists, published market price of commodities, similar indexes, and discount or rebate arrangements.
6. Comparison of proposed prices with the cost estimates performed prior to the solicitation, although this alone is seldom adequate to warrant a determination that the price is fair and reasonable. 
","Standard procedures and a management control system  will be implemented to verify the completeness of the procurement records, and ensure file documentation is maintained to establish price reasonableness.  

The procedure will require that micro-purchase procurement files contain written determination that the price is fair and reasonable, including detailing the  basis for the determination.  

A standard form will be developed and implemented for this purpose.",,,6/20/2011,D. Purcell,Open
10,Element 25 – Adequate Competition - Two or More Bidders ,We reviewed nineteen procurement files involving request for proposals and invitations for bids and found two instances where the contract files failed to contain documentation reflecting two or more responsible bidders were not willing and able to compete for the business.,"Within 30 days of the date of this report, the recipient should develop procedures and implement management controls to ensure that invitation for bid and request for proposal solicitations are publicly advertised in a timely manner and sent to an adequate number of qualified suppliers. When only one offer is received, the procurement files should be documented to so reflect the reasons why this occurred and what actions are to be taken to mitigate its happening in the future.","Standard procedures and a management control system will be implemented to ensure all small purchases are supported by two or more competitive bids.  When competitive bids cannot be obtained, the file shall detail the procurement efforts and document mitigating procedures for obtaining competition.  All planned procurement actions estimated to be above $100,000 will be posted to HRT’s website as upcoming, upon receipt of the procurement requisition.  Legal notices (ads) will run in appropriate publications, to publish the solicitation.  Post solicitation surveys will be completed to document reasons when only 1 or no bids are received.  Mitigating actions will be implemented when this occurs.  Plan holders lists and survey results will be maintained in the official contract file.",,,6/20/2011,D. Purcell,Open
