,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
,Non-Departmental,
,Business Center Index,
Organizational Chart,,6 - 2
Business Center Summary,Business Center Summary,6 - 3
Non-departmental,,6 - 4
Transfers and Contingencies,Transfers and Contingencies,6 - 5
Public Transportation,,6 - 6
Debt Service,,6 - 7
Support to Civic & Cultural Organizations,Support to Civic & Cultural Organizations,6 - 8
Fiscal Year 2014,6 - 1,Non-Departmental
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
,Non-Departmental,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,0,
,Non-Departmental,
,Positions =,-
Fiscal Year 2014,6 - 2,Non-Departmental
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
,Non-Departmental,Non-Departmental,,,
Description of Services Provided,,,,,
"This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall of","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall of","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall of","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall of","This business center includes non-specific departmental functions including Public Transportation (HRT), Virginia Sports Hall of",
"Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and","Fame, Hampton Roads Planning District Commission and the Military and Federal Facilities Alliance. The Transfers and",
Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business center,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business center,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business center,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business center,Contingencies section contains transfers from the General Fund to other operating funds. Also included in this business center,
"is the transfer of local tax support to the School's operating fund totaling $46 million, as well as the City's support to Civic","is the transfer of local tax support to the School's operating fund totaling $46 million, as well as the City's support to Civic","is the transfer of local tax support to the School's operating fund totaling $46 million, as well as the City's support to Civic","is the transfer of local tax support to the School's operating fund totaling $46 million, as well as the City's support to Civic","is the transfer of local tax support to the School's operating fund totaling $46 million, as well as the City's support to Civic",
Organizations.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Business Units,,Actual,Adopted,Amended,Adopted
Debt Service,,"56,279,695","22,947,841","22,947,841","25,600,108"
Non-Departmental,,"11,158,205","11,580,306","11,907,747","13,603,643"
Public Transportation,,"1,677,597","2,773,549","2,773,549","3,047,838"
Support to Civic & Cultural Organizations,,"329,428","328,024","328,024","415,926"
Transfers and Contingencies,,"60,956,148","58,905,968","64,105,968","60,908,736"
,Total Budget,"130,401,073","96,535,688","102,063,129","103,576,251"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"130,401,073","96,535,688","102,063,129","103,576,251"
,Total Funding,"130,401,073","96,535,688","102,063,129","103,576,251"
Fiscal Year 2014,6 - 3,,,,Non-Departmental
,City of Portsmouth,,,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,,,
Non-Departmental,Non-Departmental,,,,,
,Non-Departmental,,,,,
Business Unit Mission Statement,,,,,,
The Non-Departmental section accounts for services and costs not related to specific departments or agencies.,The Non-Departmental section accounts for services and costs not related to specific departments or agencies.,The Non-Departmental section accounts for services and costs not related to specific departments or agencies.,The Non-Departmental section accounts for services and costs not related to specific departments or agencies.,,,
Description of Services Provided,,,,,,
Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Included in this section are allocations for contractual obligations or community services supported by the City.,Reflected in,Reflected in,
"FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes","FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes","FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes","FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes","FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes","FY2014 is $2 million in tax relief for the Elderly and Disabled citizens ( Senior Citizen Tax Relief). For FY, this budget includes",
"the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share","the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share","the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share","the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share","the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share","the cost of a 3% raise for general employees, continuing the step pay plan for sworn Police and Fire personnel, the City's share",
of retiree medical costs. Jail per-diem cost increases are also reflected.,of retiree medical costs. Jail per-diem cost increases are also reflected.,,,,,
,,FY 2012,FY 2013,,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,,Amended,Adopted
Salaries,,-,"-22,500","-22,500","-22,500","1,613,282"
Benefits,,"813,508","893,601","893,601","893,601","1,995,669"
Contractual-Jail Per Diem,,"3,553,860","3,924,630","3,924,630","3,989,806","4,275,063"
