"CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA","CITY OF PORTSMOUTH, VIRGINIA",,,,,Schedule I-4
Required Supplementary Information (Unaudited),Required Supplementary Information (Unaudited),Required Supplementary Information (Unaudited),Required Supplementary Information (Unaudited),Required Supplementary Information (Unaudited),Required Supplementary Information (Unaudited),,,,,
Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,Schedule of Funding Progress for Defined Benefit Pension Plans,,,,
,,,,,Actuarial,,,,,
,,,,,Accrued,Unfunded,,,,UAAL as a
,Actuarial,Actuarial,,Actuarial,Liabilityy,((Overfunded)),,,,Percentagge
,Valuation,Valuation,,Value of,(AAL),AAL,Funded,,Covered,of Covered
,,Date,,Assets,- Entry Age,(UAAL),Ratio,,Payroll,Payroll
I. CITY-ADMINISTERED PLANS:,I. CITY-ADMINISTERED PLANS:,I. CITY-ADMINISTERED PLANS:,I. CITY-ADMINISTERED PLANS:,I. CITY-ADMINISTERED PLANS:,,,,,,
A.,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,Portsmouth Supplemental Retirement System:,,,,,
,1/1/2010,1/1/2010,$,"27,465,940","73,797,071","46,331,131",37%,$,"2,702,000",1715%
,7/1/2009,7/1/2009,,"30,844,205","73,446,501","42,602,296",42%,,"3,831,000",1112%
,7/1/2008,7/1/2008,,"4444 ,888877 ,770033","7733 ,220055 ,774499","2288 ,331188 ,004466",61%,,"44 ,115555 ,000000",682%
,7/1/2007,7/1/2007,,"47,383,449","70,564,879","23,181,430",67%,,"4,354,000",532%
,7/1/2006,7/1/2006,,"44,984,706","67,253,150","22,268,444",67%,,"4,472,000",498%
,7/1/2005,7/1/2005,,"45,070,186","69,629,486","24,559,300",65%,,"4,821,000",509%
,7/1/2004,7/1/2004,,"45,692,761","67,497,029","21,804,268",68%,,"5,700,000",383%
B.,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,Fire and Police Retirement System:,,,,,,
,1/1/2010,1/1/2010,$,"78,994,174","216,550,641","137,556,467",36%,$,"10,531,000",1306%
,7/1/2009,7/1/2009,,"76,,943,,962","214,,676,,887","137,,732,,925",36%,,"11,,048,,000",1247%
,7/1/2008,7/1/2008,,"99,468,964","210,696,128","111,227,164",47%,,"11,615,000",958%
,7/1/2007,7/1/2007,,"99,524,229","202,807,233","103,283,004",49%,,"12,015,000",860%
,7/1/2006,7/1/2006,,"91,076,751","184,555,196","93,478,445",49%,,"11,642,000",803%
,7/1/2005,7/1/2005,,"87,799,085","173,938,719","86,139,634",50%,,"11,823,000",729%
,7/1/2004,7/1/2004,,"84,719,127","163,976,841","79,257,714",52%,,"12,394,000",639%
II. VIRGINIA RETIREMENT SYSTEM PLANS:,II. VIRGINIA RETIREMENT SYSTEM PLANS:,II. VIRGINIA RETIREMENT SYSTEM PLANS:,II. VIRGINIA RETIREMENT SYSTEM PLANS:,II. VIRGINIA RETIREMENT SYSTEM PLANS:,II. VIRGINIA RETIREMENT SYSTEM PLANS:,,,,,
AA.,CCiitty,off PPorttsmoutthh EEmplloyees:,off PPorttsmoutthh EEmplloyees:,off PPorttsmoutthh EEmplloyees:,,,,,,
,6/30/2009,6/30/2009,$,"196,708,288","215,980,918","19,272,630",91%,$,"64,429,140",30%
,6/30/2008,6/30/2008,,"192,508,238","203,073,948","10,565,710",95%,,"66,204,197",16%
,6/30/2007,6/30/2007,,"172,051,577","180,513,208","8,461,631",95%,,"63,792,347",13%
,6/30/2006,6/30/2006,,"150,091,584","161,435,702","11,344,118",93%,,"59,578,054",19%
B.,School Board Nonprofessional Employees:,School Board Nonprofessional Employees:,School Board Nonprofessional Employees:,School Board Nonprofessional Employees:,School Board Nonprofessional Employees:,,,,,
,6/30/2009,6/30/2009,$,"26,438,978","32,184,146","5,745,168",82%,$,"8,645,713",66%
,6/30/2008,6/30/2008,,"26,548,549","30,249,399","3,700,850",88%,,"8,007,998",46%
,6/30/2007,6/30/2007,,"24,480,702","27,907,908","3,427,206",88%,,"8,046,557",43%
,6/30/2006,6/30/2006,,"22,044,655","25,078,308","3,033,653",88%,,"8,002,672",38%
Unaudited - see accompanying independent auditors' report.,Unaudited - see accompanying independent auditors' report.,Unaudited - see accompanying independent auditors' report.,Unaudited - see accompanying independent auditors' report.,Unaudited - see accompanying independent auditors' report.,Unaudited - see accompanying independent auditors' report.,,,,,
,,,,,76,,,,,
