Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”,Name: “Table 1 of 1 on page 7 of 14”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,,,,,,,,,,,,,
,,,,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,,,,,,,,,,,,,,,,,,
,,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,AS ADOPTED BY THE BOARD OF SUPERVISORS - AMENDED,,,,,,,,,,,,,,,,
,,,,,,,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,,,,,,,,,,,,,,,,,,,,,
,,,,,,Capital,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,10 Year
,,,,CIP,,Budget,,,,,,,,,,,,CIP TOTAL,,,,,,,,,,,Horizon TOTAL,Horizon TOTAL,,CIP
,Department / Agency,,,2006-07,,2006-07,,2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,FY 08-12',2012-13',2012-13',2013-14',2013-14',,2014-15',,2015-16',2016-17',2016-17',,FY 13-17',,TOTAL
F,Public Utilities,,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
3,Fluoride Compliance,,,"100,000",,"100,000",,-,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Carrisbrooke Water Syst.-upgrade,Carrisbrooke Water Syst.-upgrade,,"15,000",,"15,000",,"50,000",,"250,000",,,,,,,,"300,000",,,,,,,,,,,,-,,"300,000"
1,Windsor Blvd Water Ext.,Windsor Blvd Water Ext.,,,,,,"315,000",,,,,,,,,,"315,000",,,,,,,,,,,,-,,"315,000"
,"Future Water Source-Plan/Eng/Const 3,690,230","Future Water Source-Plan/Eng/Const 3,690,230","Future Water Source-Plan/Eng/Const 3,690,230","Future Water Source-Plan/Eng/Const 3,690,230",,"3,690,230",,"2,000,000",,,,,,,,,,"2,000,000",,,,,,-,,,,,,-,,"2,000,000"
2,Regional Consent Order (SSO),Regional Consent Order (SSO),,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"100,000",,"500,000",,,,,,,,,,,,-,,"500,000"
4,Camptown/Carrsville Improvements,Camptown/Carrsville Improvements,Camptown/Carrsville Improvements,"500,000",,"500,000",,"2,500,000",,,,,,,,,,"2,500,000",,,,,,-,,,,,,-,,"2,500,000"
5,Water & Sewer Rate Study,Water & Sewer Rate Study,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Sewer Station Vac Truck,Sewer Station Vac Truck,,,,,,,,,,"250,000",,,,,,"250,000",,,,,,,,,,,,-,,"250,000"
,Rt 58 Water/Sewer Extension,Rt 58 Water/Sewer Extension,,,,,,"250,000",,"3,000,000",,,,,,,,"3,250,000",,,,,,,,,,,,,,"3,250,000"
