Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”,Name: “Table 1 of 1 on page 61 of 108”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,,,Education,Education,,,,
,Appropriated,FY 2012,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2013,FY 2014,FY 2015,FY 2016,Total,Total
Project Title,,,,,,,,
Simonsdale School,"19,324,378","1,375,000","1,375,000","1,375,000","1,375,000",-,"5,500,000","24,824,378"
Total Project Cost,"19,324,378","1,375,000","1,375,000","1,375,000","1,375,000",-,"5,500,000","24,824,378"
Debt Funding,,,,,,,,
Education Bonds-VPSA-QSCB,"17,222,170",-,-,-,-,-,-,"17,222,170"
(Economic Stimulus),,,,,,,,
Education Funding,,,,,,,,
State Construction Funds,"343,739",-,-,-,-,-,-,"343,739"
State Lottery Funds,"383,469",-,-,-,-,-,-,"383,469"
Transfers from Schools(Capital,"1,375,000","1,375,000","1,375,000","1,375,000","1,375,000",-,"5,500,000","6,875,000"
Reserve Simonsdale School),,,,,,,,
Education Funding Funding,"2,102,208","1,375,000","1,375,000","1,375,000","1,375,000",-,"5,500,000","7,602,208"
Total Funding,"19,324,378","1,375,000","1,375,000","1,375,000","1,375,000",-,"5,500,000","24,824,378"
Fiscal Year 2012,,,61,,,,Capital Improvements,Capital Improvements
