Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”,Name: “Table 1 of 1 on page 63 of 108”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,
,,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,,
,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,Industrial and Economic Development,,,
,Appropriated,FY 2012,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,Un-Appropriated Subsequent Years,,5 Year,CIP
,To Date,Adopted,FY 2013,FY 2014,FY 2015,FY 2016,Total,Total
Project Title,,,,,,,,
City Gateways,"1,108,000","216,320","224,973","233,972","243,330","253,063","1,171,658","2,279,658"
Holiday Inn Site Redevelopment,"7,000,000","489,000","3,836,000",-,-,-,"4,325,000","11,325,000"
Pac (ntelos Pavilion) - Canopy,"3,480,478",-,-,-,-,-,-,"3,480,478"
Tidewater Community College,"12,000,000",-,-,-,-,-,-,"12,000,000"
Portsmouth Campus Infrastructure,,,,,,,,
Total Project Cost,"23,588,478","705,320","4,060,973","233,972","243,330","253,063","5,496,658","29,085,136"
Debt Funding,,,,,,,,
General Obligation Bonds,"21,193,467","705,320","1,724,973","233,972","243,330","253,063","3,160,658","24,354,125"
Other Funding,,,,,,,,
Harbor Center Pavilion Ticket Sales,"7,070",-,-,-,-,-,-,"7,070"
Interest Earnings,"500,000",-,-,-,-,-,-,"500,000"
Other - Local Funding,"37,941",-,-,-,-,-,-,"37,941"
Sale of Property,-,-,"2,336,000",-,-,-,"2,336,000","2,336,000"
Other Funding Funding,"545,011",-,"2,336,000",-,-,-,"2,336,000","2,881,011"
Transfers,,,,,,,,
Transfer from General Fund,"1,850,000",-,-,-,-,-,-,"1,850,000"
Total Funding,"23,588,478","705,320","4,060,973","233,972","243,330","253,063","5,496,658","29,085,136"
Fiscal Year 2012,,,63,,,,Capital Improvements,Capital Improvements
