Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”,Name: “Table 1 of 1 on page 86 of 108”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,,Capital Improvements,Capital Improvements,,,
,,,Municipal Facilities,,,,
Project: 23507,Title: Fire Vehicle and Storage Building,Title: Fire Vehicle and Storage Building,,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project:,Plan Reference:,,,District:,,,
LOS/Concurrency:,"Project Need: Growth, Other","Project Need: Growth, Other",,Location:,,,
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"438,708","438,708",0,0,0,0,0,0
,,,Description and Scope,,,,
This building will provide storage capacity for other equipment such as generators and tools.,This building will provide storage capacity for other equipment such as generators and tools.,This building will provide storage capacity for other equipment such as generators and tools.,This building will provide storage capacity for other equipment such as generators and tools.,,,,
,,,Rationale,,,,
At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,At the present time the fire department has three reserve fire engines that are used when front line apparatus breaks down. These reserve,,
vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,vehicles are presently stored under the water tower on Broad Street. This is not a good place to store the equipment due to security issues.,,
"Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There","Additionally, there are three medic units which all serve the same purpose in the EMS division and are located outside at the city compound. There",
is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,is also a Safety Trailer that is used to teach fire safety to children which is located outside behind a fire station. We will soon have a reserve quint,
which will act as a reserve ladder.,which will act as a reserve ladder.,,,,,,
,,,Funding Strategy,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Construction,,,07/06 - 06/07,"438,708"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"438,708"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Sale of Property,,,,"300,000"
,,,Transfer from General Fund,Transfer from General Fund,,,"138,708"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"438,708"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,86,,,Capital Improvements,Capital Improvements
