Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”,Name: “Table 1 of 1 on page 16 of 108”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,
,,,City of Portsmouth,,,,
,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,,Capital Improvements,Capital Improvements,Capital Improvements,,,
,,,Sewer,,,,
Project: 19009,Title: Williams Court Outlet Sewer Rehabilitation,Title: Williams Court Outlet Sewer Rehabilitation,Title: Williams Court Outlet Sewer Rehabilitation,,,Status: Active Project,
,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: CC Vision - Neighborhood,Plan Reference: CC Vision - Neighborhood,,District:,,,
LOS/Concurrency: N/A,Project Need: N/A,,,"Location: Behind the former Cradock High School, 4300 GWH","Location: Behind the former Cradock High School, 4300 GWH","Location: Behind the former Cradock High School, 4300 GWH",
,,,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,Future Funding
"2,500,000","2,500,000",0,0,0,0,0,0
,,,Description and Scope,,,,
This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,This project involves rehabilitation of the 27-inch concrete sewer main which conveys wastewater from the Williams Court area to the Camden,,
Avenue Pump Station. Rehabilitation to involve lining of approx. 3000 LF of sewer and associated manholes.,Avenue Pump Station. Rehabilitation to involve lining of approx. 3000 LF of sewer and associated manholes.,Avenue Pump Station. Rehabilitation to involve lining of approx. 3000 LF of sewer and associated manholes.,Avenue Pump Station. Rehabilitation to involve lining of approx. 3000 LF of sewer and associated manholes.,Avenue Pump Station. Rehabilitation to involve lining of approx. 3000 LF of sewer and associated manholes.,,,
,,,Rationale,,,,
Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,Investigation of the sewer line during cleaning operations show that the top of the concrete pipe has eroded away due to the release of hydrogen,,
"sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and","sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and","sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and","sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and","sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and","sulfide gas during turbulent wastewater flow. If left unchecked, resulting sanitary sewer overflows would have major public health and",,
environmental issues.,,,,,,,
,,,Funding Strategy,,,,
Funding to come from Public Utilities General Obligation Bonds.,Funding to come from Public Utilities General Obligation Bonds.,Funding to come from Public Utilities General Obligation Bonds.,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,
Project would minimize operating costs for Public Utilities.,Project would minimize operating costs for Public Utilities.,,,,,,
,Project Map,,,,Schedule of Activities,,
,,,,Project Activities,,From - To,Amount
,,,Project Management,,,07/08 - 06/11,"150,000"
,,,Design,,,07/08 - 06/09,"100,000"
,,,Construction,,,07/08 - 06/11,"2,250,000"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"2,500,000"
,,,,,Means of Financing,,
,,,,Funding Source,,,Amount
,,,Public Utilities General Obligation Bonds,Public Utilities General Obligation Bonds,,,"2,500,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,"2,500,000"
,,,,,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,,16,,Capital Improvements,Capital Improvements
