Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”,Name: “Table 1 of 1 on page 90 of 108”
Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90
,,,,,,,,
,,,City of Portsmouth,City of Portsmouth,,,,
,,,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,,
,,,Capital Improvements,Capital Improvements,,,,
,,,Municipal Facilities,Municipal Facilities,,,,
Project: 18207,Title: Portsmouth Court Complex(Port Center),Title: Portsmouth Court Complex(Port Center),Title: Portsmouth Court Complex(Port Center),,,Status: Active Project,Status: Active Project,
,Comprehensive Plan Information,Comprehensive Plan Information,,,,Project Location,,
CIE Project: N/A,Plan Reference: Bold New Directions,Plan Reference: Bold New Directions,,District:,,,,
LOS/Concurrency: N/A,Project Need: N/A,Project Need: N/A,,Location: 800 Crawford Street,Location: 800 Crawford Street,,,
,,,Programmed Funding,Programmed Funding,,,,
Programmed,Appropriated,Budgeted,,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,Non-Appropriated Programmed CIP Funding,,
Funding,To Date,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,,Future Funding
"86,748,551","44,950,259","28,000,000","4,750,000","9,048,292",,0,0,0
,,,Description and Scope,Description and Scope,,,,
This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,This project includes the creation of a master plan for the courts with the first phase identified as the construction of a facility which will primarily,,
"house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross","house the Circuit Court and Clerk of the Court.The Courthouse will have 107,166 gross square feet of space for the Circuit Court,39,837 gross",,
"square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.","square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.","square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.","square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.","square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.","square feet for the General District Court and a minimum of 40,432 gross square feet for Juvenile and Domestic Relations Court.",,,
,,,,Rationale,,,,
The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,The existing civic center presently housing the courts is in serious need of renovation or replacement. City Council through a capital project,,
evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,evaluation process identified a new replacement facility as one of six top priority capital projects. The funding requested at this time is to hire an,,
architect to start the design process for the new facility.,architect to start the design process for the new facility.,architect to start the design process for the new facility.,,,,,,
,,,,Funding Strategy,,,,
Funding for the new facility is through Virginia Resource Authority (VRA) bonds.,Funding for the new facility is through Virginia Resource Authority (VRA) bonds.,Funding for the new facility is through Virginia Resource Authority (VRA) bonds.,Funding for the new facility is through Virginia Resource Authority (VRA) bonds.,,,,,
,,,Operating Budget Impacts,Operating Budget Impacts,,,,
"Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @","Originally, the City's budgeted five-year plan accepted by the Courthouse developer for FY09 @ $5 million, FY10-12 @ $3 million each, FY13 @",,
"$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to","$4.75 million and FY14 @ $9,048,292. In order to settle the pending lawsuit by the Circuit Court judges, the real estate tax rate was increased to",,
establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,establish a courts capital reserve fund. Additional amounts above the funding amounts identified previously will be used to fund all three courts,,
rather than the original plans for the Circuit Court only.,rather than the original plans for the Circuit Court only.,rather than the original plans for the Circuit Court only.,,,,,,
,Impact Description,Impact Description,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,
,Personal Services,,0,0,0,0,,0
,Capital Outlay,,0,0,0,0,,0
,Operations and Maintenance,Operations and Maintenance,0,"20,000","20,000","20,000","20,000",
,Total Operating budget Impact:,Total Operating budget Impact:,0,"20,000","20,000","20,000","20,000",
,Project Map,Project Map,,,Schedule of Activities,Schedule of Activities,,
,,,,,Project Activities,From - To,,Amount
,,,,Design,,08/06 - 01/08,08/06 - 01/08,"6,250,000"
,,,,Construction,,07/08 - 12/14,07/08 - 12/14,"73,548,292"
,,,,Judicial Facilities Imprv(Desk Inc),,01/05 - 01/08,01/05 - 01/08,"6,950,259"
,,,,,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,Total Budgetary Cost Estimate:,"86,748,551"
,,,,,Means of Financing,Means of Financing,,
,,,,,Funding Source,,,Amount
,,,,General Obligation Bonds,,,,"49,714,570"
,,,,General Obligation Notes,,,,"25,000,000"
,,,,Trans from Gen Fund to Capital Reserve - Courts,Trans from Gen Fund to Capital Reserve - Courts,,,"8,033,981"
,,,,Transfer from General Fund,,,,"4,000,000"
,,,,,Total Programmed Funding:,Total Programmed Funding:,Total Programmed Funding:,"86,748,551"
,,,,,Future Funding Requirements:,Future Funding Requirements:,Future Funding Requirements:,0
Fiscal Year 2012,,,,90,,,Capital Improvements,Capital Improvements
