MSA Average Earnings Per Worker (1969 - 2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: Bureau of Economic Analysis & HRPDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,
Farm,"2,292 ","2,543 ","1,611 ","3,436 ","5,283 ","4,022 ","6,136 ","4,277 ","2,906 ","4,444 ",(978),(392),"7,097 ","3,396 ","(1,018)","7,464 ","5,221 ","9,232 ","11,677 ","16,472 ","19,633 ","23,908 ","18,686 ","23,788 ","18,642 ","25,194 ","19,552 ","26,785 ","16,759 ","15,752 ","12,763 ","17,820 ",,,,,,,,,,
"Agricultural Services, Forestry, Fishing","4,273 ","4,685 ","4,883 ","5,320 ","5,277 ","5,900 ","5,890 ","6,897 ","6,442 ","7,329 ","7,462 ","7,064 ","5,887 ","6,106 ","7,510 ",(D),(D),"11,162 ","11,071 ","12,082 ","11,797 ","13,040 ",(D),(D),"14,321 ","13,640 ","13,822 ","13,195 ",(D),(D),(D),(D),,,,,,,,,,
Mining,"14,441 ","11,122 ","5,858 ","12,842 ","14,066 ","29,629 ","38,162 ","69,367 ","103,130 ","55,674 ","69,597 ","133,151 ","120,265 ","101,972 ","52,294 ","51,519 ","60,119 ","10,146 ","20,302 ","60,217 ","49,662 ","60,607 ",(D),(D),"105,723 ","134,835 ","109,258 ","157,311 ","142,514 ",(D),(D),(D),,,,,,,,,,
Construction,"7,217 ",(D),(D),"8,856 ","9,571 ","10,381 ","11,491 ","12,766 ","12,971 ","13,717 ","14,559 ","15,480 ","15,763 ","16,725 ","18,260 ","19,446 ","20,343 ","21,949 ","22,398 ","23,231 ","23,460 ","24,185 ","25,341 ","25,257 ","26,930 ","27,677 ","28,594 ","30,004 ","29,683 ",(D),"33,091 ","34,970 ",,,,,,,,,,
Manufacturing,"8,091 ","8,603 ","8,971 ","9,650 ","10,207 ","11,075 ","12,410 ","13,597 ","15,125 ","16,256 ","17,871 ","19,407 ","21,384 ","23,537 ","25,363 ","27,294 ","29,437 ","30,611 ","31,336 ","31,933 ","32,707 ","33,571 ","35,679 ","37,600 ","38,925 ","40,447 ","41,772 ","42,499 ","42,413 ","44,491 ","47,183 ","49,204 ",,,,,,,,,,
Transportation and Public Utilities,"7,605 ","8,212 ","8,936 ","9,943 ","10,698 ","11,786 ","12,730 ","14,198 ","15,273 ","16,602 ","18,098 ","19,697 ","21,491 ","23,265 ","24,947 ","26,489 ","27,967 ","28,773 ","29,898 ","30,193 ","31,258 ","31,819 ","33,322 ","34,609 ","35,253 ","35,873 ","35,589 ","36,170 ","39,164 ","40,893 ","42,127 ","42,104 ",,,,,,,,,,
Wholesale Trade,"7,630 ","8,019 ","8,459 ","8,786 ","10,092 ","11,197 ","12,399 ","13,095 ","13,753 ","14,932 ","16,138 ","17,291 ","18,860 ","20,205 ","20,974 ","22,327 ","23,564 ","24,852 ","25,008 ","27,460 ","28,645 ","29,494 ","30,523 ","31,302 ","32,206 ","32,839 ","34,578 ","35,650 ","37,205 ","39,154 ","40,852 ","42,195 ",,,,,,,,,,
Retail Trade,"4,574 ","4,804 ","5,071 ","5,408 ","5,784 ","6,139 ","6,654 ","7,119 ","7,399 ","7,957 ","8,519 ","8,925 ","9,462 ","9,958 ","10,754 ","11,181 ","11,444 ","11,855 ","11,905 ","12,029 ","12,048 ","12,345 ","12,800 ","13,384 ","13,550 ","13,836 ","13,864 ","13,970 ","14,395 ","15,240 ","16,103 ","16,929 ",,,,,,,,,,
"Finance, Insurance, and Real Estate","4,216 ","4,160 ","4,357 ","4,732 ","4,307 ","4,266 ","4,638 ","5,263 ","5,466 ","5,966 ","6,609 ","7,677 ","8,383 ","8,626 ","10,418 ","11,023 ","10,819 ","11,188 ","12,848 ","14,171 ","14,404 ","15,120 ","16,155 ","20,055 ","20,724 ","20,306 ","20,322 ","22,349 ","25,572 ","27,550 ","30,166 ","30,171 ",,,,,,,,,,
Services,"4,394 ","4,696 ","5,125 ","5,410 ","5,890 ","6,399 ","7,114 ","7,673 ","8,347 ","9,161 ","9,949 ","11,030 ","12,343 ","13,147 ","13,912 ","14,947 ","15,493 ","16,435 ","17,628 ","18,230 ","18,919 ","19,852 ","20,650 ","21,630 ","22,474 ","22,941 ","23,234 ","23,584 ","24,442 ","25,438 ","26,423 ","27,719 ",,,,,,,,,,
