Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”,Name: “Table 1 of 1 on page 29 of 151”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,
,,,,REVENUE,REVENUE,,,,,,,
,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,%,%
REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
GENERAL PROPERTY TAXES:,,,,,,,,,,,,
REAL PROPERTY,$,"15,307,141",$,"17,181,521",$,"17,870,791",,"19,500,000",,"20,795,000",7%,57%
PUBLIC SERVICE CORP-REAL/PERS,,"1,721,622",,"1,313,413",,"1,391,517",,"1,400,000",,"1,110,000",-21%,3%
PERSONAL PROPERTY,,"4,331,387",,"4,732,533",,"5,126,801",,"5,384,110",,"7,100,000",32%,19%
BOAT / AIRPLANE TAX,,"177,359",,"183,876",,"198,969",,-,,"200,000",N/A,1%
MOBILE HOME,,"167,907",,"160,399",,"164,645",,"184,000",,"100,000",-46%,0%
MACHINERY AND TOOLS,,"5,661,308",,"6,109,000",,"6,372,676",,"6,400,000",,"7,000,000",9%,19%
PENALTIES,,"201,063",,"212,469",,"223,455",,"200,000",,"200,000",0%,1%
INTEREST,,"124,684",,"106,970",,"106,199",,"100,000",,"100,000",0%,0%
