Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”,Name: “Table 1 of 1 on page 23 of 151”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,,,
,,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,SUMMARY BY DEPARTMENT,,,,,
,,FY 2007,,FY 2008,,FY 2008,,,
DEPARTMENT,,,,,,,,,
,,Budget,,Requested,,Adopted,% Change,,$ Change
General Government,,,,,,,,,
Board of Supervisors,$,"237,583",$,"240,392",$,"237,392",0%,$,(191)
Contingency,,"50,000",,"50,000",,"59,290",19%,,"9,290"
County Administrator,,"706,967",,"706,767",,"699,068",-1%,,"(7,899)"
County Attorney,,"334,705",,"430,526",,"393,743",18%,,"59,038"
Human Resources,,"243,576",,"246,101",,"266,823",10%,,"23,247"
Commissioner of the Revenue,,"463,203",,"514,195",,"523,938",13%,,"60,735"
Real Estate Assessment,,"11,430",,"330,930",,"311,430",2625%,,"300,000"
Treasurer,,"431,536",,"487,529",,"451,592",5%,,"20,056"
Budget and Finance,,"451,463",,"467,339",,"448,451",-1%,,"(3,012)"
Insurance,,"191,000",,"210,000",,"210,000",10%,,"19,000"
Electoral Board/Registrar,,"155,045",,"162,509",,"166,540",7%,,11495
Information Technology/GIS Operations,,"858,459",,"709,643",,"709,607",-17%,,"(148,852)"
Communications,,"53,550",,"98,734",,"116,016",117%,,"62,466"
Total General Government Administration,$,"4,188,517",$,"4,654,665",$,"4,593,890",10%,$,"405,373"
Judicial Administration,,,,,,,,,
Circuit Court,$,"36,220",$,"36,220",$,"36,220",0%,$,-
General District Court,,"6,940",,"8,525",,"7,250",4%,,310
Juvenile and Domestic Relations Court,,"10,250",,"10,625",,"11,025",8%,,775
Fifth District Court Services Unit,,"180,040",,"105,540",,"105,540",-41%,,"(74,500)"
Clerk of the Circuit Court,,"379,637",,"407,513",,"412,802",9%,,"33,165"
Commonwealth Attorney,,"311,643",,"322,915",,"319,523",3%,,"7,880"
Total Judicial Administration,$,"924,730",$,"891,338",$,"892,360",-4%,$,"(32,370)"
Public Safety,,,,,,,,,
Sheriff,$,"2,502,021",$,"2,998,051",$,"2,992,248",20%,$,"490,227"
Emergency Services - Fire & Rescue,,"830,849",,"1,345,388",,"1,365,407",64%,,"534,558"
Volunteer Fire Services,,"331,740",,"346,017",,"346,017",4%,,"14,277"
Volunteer Rescue Services,,"289,685",,"314,932",,"314,932",9%,,"25,247"
Inspections and Code Enforcement,,"483,548",,"522,084",,"523,671",8%,,"40,123"
Animal Control,,"219,484",,"260,184",,"247,791",13%,,"28,307"
Emergency Management,,"13,806",,"13,806",,"10,506",-24%,,"(3,300)"
Fifth District Community Corrections Program,,"4,579",,"8,579",,"8,579",87%,,"4,000"
Total Public Safety,$,"4,675,712",$,"5,809,041",$,"5,809,151",24%,$,"1,133,439"
Public Works,,,,,,,,,
Public Works - Administration,$,"142,858",$,"144,008",$,"117,729",-18%,$,"(25,129)"
Public Works - Refuse Collection,,"915,479",,"940,462",,"943,551",3%,,"28,072"
Public Works - Refuse Disposal,,"1,260,000",,"2,114,210",,"2,012,210",60%,,"752,210"
Public Works - Buildings and Grounds,,"1,151,761",,"1,250,559",,"1,329,316",15%,,"177,555"
Public Works - Transportation / Maintenance,,"146,000",,"146,000",,"146,000",0%,,-
Maintenance of Roads,,"1,000,000",,"1,100,000",,"1,000,000",0%,,-
Roadway Beautification,,"11,500",,"11,750",,"11,750",2%,,250
Engineering Division,,"276,150",,"455,350",,"578,560",110%,,"302,410"
Total Public Works,$,"4,903,748",$,"6,162,339",$,"6,139,116",25%,$,"1,235,368"
Health & Welfare,,,,,,,,,
Court Appointed Special Advocate (CASA),,"30,000",,"65,417",,"65,837",119%,,"35,837"
Juvenile Accountability Block Grant (JABG),,"50,495",,"50,995",,"44,528",-12%,,"(5,967)"
Community Youth Programs,$,"57,133",$,"50,000",$,"15,000",-74%,$,"(42,133)"
IOW Triad,,-,,"5,450",,"2,780",N/A,,"2,780"
Victim Witness,,"6,000",,"21,000",,"6,000",0%,,-
Western Tidewater Health District,,"415,722",,"498,866",,"440,665",6%,,"24,943"
Western Tidewater Community Services Board,,"151,200",,"163,296",,"160,272",6%,,"9,072"
Isle of Wight Substance Abuse Council,,-,,-,,-,N/A,,-
Endependence Center,,"5,000",,"6,000",,"5,300",6%,,300
,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,
