Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”,Name: “Table 1 of 1 on page 108 of 151”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,,,,,,,
ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,,,,,,
REVENUE SUMMARY,,County,,School,Public Utility,Public Utility,,Total,% Total,Source
General Operating Revenues,$,"1,375,000",$,-,$,-,$,"1,375,000",3%,1
General Fund Balance,,"2,225,000",,"2,441,592",,,,"4,666,592",11%,2
General Fund Reserves - Cash Proffers,,"200,000",,-,,,,"200,000",0%,3
Bonded Debt,,"32,735,000",,,,"5,215,000",,"37,950,000",86%,4
Public Utility Revenues,,,,,,-,,-,0%,5
Donation / Town of Smithfield (Fire Station),,"100,000",,-,,-,,"100,000",0%,6
TOTAL REVENUES:,$,"36,635,000",$,"2,441,592",$,"5,215,000",$,"44,291,592",100%,
EXPENDITURE SUMMARY,,,,,,,,,,
Space Needs,,,,,,,,,,
Phase II - Courts/Clerk Bldg,$,"23,627,000",,,,,$,"23,627,000",,4
Smithfield Fire Station,,"4,508,000",,,,,,"4,508,000",,4/6
Reserve for Community Center - Town of Windsor,,"150,000",,,,,,"150,000",,1
Smithfield YMCA - Swimming Pool / Expansion,,"25,000",,,,,,"25,000",,2
,$,"28,310,000",,,,,$,"28,310,000",64%,
Fire & Rescue,,,,,,,,,,
Carrollton Vol. Fire - Ambulance Addition,$,"42,500",,,,,$,"42,500",,2
Carrollton Vol. Fire - Tanker/Trailer Replacement,,"185,000",,,,,,"185,000",,2
Rushmere Vol. Fire - Upgrade SCBA Equipment,,"35,000",,,,,,"35,000",,2
Rushmere Vol. Fire - Building Addition,,"150,000",,,,,,"150,000",,3
Rushmere Vol. Fire - Engine Replacement,,"60,000",,,,,,"60,000",,2
Smithfield Vol. Fire - Crash Truck Refurbish,,"50,000",,,,,,"50,000",,3
IOW Rescue - Ambulance Replacement,,"42,500",,,,,,"42,500",,2
Windsor Rescue - Ambulance replacement,,"85,000",,,,,,"85,000",,2
,$,"650,000",,,,,$,"650,000",1%,
Community Development,,,,,,,,,,
Booker T. Estates CDBG - Road Construction,$,"100,000",,,,,$,"100,000",,2
Pinewood Heights Relocation,,"250,000",,,,,,"250,000",,1
Rt. 17 Revitalization,,-,use rollover funds,use rollover funds,,,,-,,2
Carrsville Streetscape,,-,use rollover funds,use rollover funds,,,,-,,2
CDBG Program Reserves,,"50,000",,,,,,"50,000",,1
,$,"400,000",,,,,$,"400,000",1%,
Economic Development,,,,,,,,,,
Rt. 460 Distribution Park - Land Acquisition,$,"2,000,000",,,,,$,"2,000,000",,4
NDSD Park - Land Acquisition,,"750,000",,,,,,"750,000",,2
Reserve for Purchase Agricultural Development Rights (PACE),,"500,000",,,,,,"500,000",,1
Reserve for E.D. Projects,,"250,000",,,,,,"250,000",,1/2
,$,"3,500,000",,,,,$,"3,500,000",8%,
Engineering,,,,,,,,,,
Reserve for E&S Control,$,"25,000",,,,,,"25,000",0%,1
,$,"25,000",,,,,$,"25,000",,
Public Schools,,,,,,,,,,
Hardy Elementary Roof Replacement,,,,"793,500",,,,"793,500",,2
Smithfield High School Roof Replacement,,,,"1,648,092",,,,"1,648,092",,2
,,,$,"2,441,592",,,$,"2,441,592",6%,
Parks & Recreation,,,,,,,,,,
Heritage Park - Fairgrounds,$,"2,700,000",,,,,$,"2,700,000",,4
County Trails Development,,"100,000",,,,,,"100,000",,2
Nike Park - Soccer Complex,,"250,000",,,,,,"250,000",,2
Old Jail Renovation - Interior,,"70,000",,,,,,"70,000",,2
Fort Boykin Erosion Control,,"200,000",,,,,,"200,000",,2
Reserve for Land Preservation,,"250,000",,,,,,"250,000",,1/2
,$,"3,570,000",,,,,$,"3,570,000",8%,
"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
