Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”,Name: “Table 1 of 1 on page 24 of 151”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,,
,,,FY 2007,,FY 2008,,FY 2008,,,
DEPARTMENT,,,,,,,,,,
,,,Budget,,Requested,,Adopted,% Change,,$ Change
State/Local Hospitalization,,,"14,000",,"13,000",,"13,000",-7%,,"(1,000)"
STOP,,,"7,051",,"7,051",,"7,051",0%,,-
Senior Services of Southeastern Virginia,Senior Services of Southeastern Virginia,,"32,545",,"33,413",,"33,413",3%,,868
Surry Area Free Clinic,,,"5,150",,"5,250",,-,-100%,,"(5,150)"
Western Tidewater Free Clinic,,,-,,"20,000",,"5,150",N/A,,"5,150"
Suffolk Shelter for the Homeless,,,"8,000",,"10,000",,"8,500",6%,,500
Genieve Shelter,,,"10,000",,"15,000",,"10,600",6%,,600
Commission on Aging,,,"1,000",,"1,700",,"1,700",70%,,700
Care and Confinement of Prisoners,,,-,,-,,-,N/A,,-
Total Health & Welfare,,$,"793,296",$,"966,438",$,"819,796",3%,$,"26,500"
"Parks, Recreation, and Cultural",,,,,,,,,,
Parks and Recreation,,$,"931,721",$,"964,826",$,"1,066,006",14%,$,"134,285"
Historic Resources Division,,,"268,545",,"256,945",,"267,296",0%,,"(1,249)"
Smithfield Cultural Arts Center,,,"5,000",,"5,000",,"5,000",0%,,-
Rawls Museum Challenge Grnt,,,"1,000",,"1,000",,"1,000",0%,,-
Blackwater Regional Library,,,"429,468",,"573,119",,"573,119",33%,,"143,651"
Paul D. Camp Community College,,,"6,500",,"6,500",,"6,500",0%,,-
"Total Parks, Recreation, and Cultural","Total Parks, Recreation, and Cultural",$,"1,642,234",$,"1,807,390",$,"1,918,921",17%,$,"276,687"
Community Development,,,,,,,,,,
Planning and Zoning,,$,"770,483",$,"1,150,898",$,"939,209",22%,$,"168,726"
Economic Development,,,"442,681",,"450,331",,"416,734",-6%,,"(25,947)"
Tourism,,,"345,167",,"352,714",,"374,775",9%,,"29,608"
Rural Conservation & Enhancement,,,"18,000",,"19,000",,"19,000",6%,,"1,000"
Cooperative Extension Service,,,"53,930",,"59,163",,"59,488",10%,,"5,558"
Forestry Service,,,"4,900",,"4,900",,"4,900",0%,,-
Chamber of Commerce,,,"18,500",,"21,500",,"21,500",16%,,"3,000"
Patriot's Day,,,"3,000",,"3,000",,"3,000",0%,,-
Riverkeeper's Organization,,,-,,-,,"3,600",N/A,,"3,600"
Total Community Development,,$,"1,656,661",$,"2,061,506",$,"1,842,206",11%,$,"185,545"
Non-departmental,,,,,,,,,,
Debt Service,,$,"1,037,509",$,"1,036,022",$,"1,036,022",0%,$,"(1,487)"
Non-departmental,,,"178,166",,"178,169",,"106,350",-40%,,"(71,816)"
Annexation Settlement Payment,,,"1,150,000",,"1,150,000",,"1,150,000",0%,,-
Total Non-Departmental,,$,"2,365,675",$,"2,364,191",$,"2,292,372",-3%,$,"(73,303)"
Transfers,,,,,,,,,,
Social Services - State/Federal/Other,Social Services - State/Federal/Other,$,"3,001,329",$,"2,978,986",$,"2,978,986",-1%,$,"(22,343)"
Local Contribution,,,"913,710",,"1,006,943",,"968,532",6%,,"54,822"
Schools - State/Federal/Other,,,"32,103,480",,"33,827,183",,"33,827,182",5%,,"1,723,702"
Local Contribution,,,"25,215,367",,"27,989,905",,"27,497,405",9%,,"2,282,038"
Schools - Capital,,,"700,000",,"2,441,592",,"2,441,592",249%,,"1,741,592"
Section 8 - State/Federal/Other,,,"99,774",,"123,840",,"123,840",24%,,"24,066"
Local Contribution,,,"20,140",,"72,384",,"72,384",259%,,"52,244"
Comprehensive Services Act - State/Fed/Other,Comprehensive Services Act - State/Fed/Other,,"175,000",,"199,593",,"199,593",14%,,"24,593"
Local Contribution,,,"100,000",,"164,407",,"164,407",64%,,"64,407"
Capital Projects,,,"7,182,992",,"37,785,000",,"36,635,000",410%,,"29,452,008"
Enterprise / Special Revenue Funds,,,"254,924",,"835,799",,"1,435,799",463%,,"1,180,875"
Total Transfers,,$,"69,766,716",$,"107,425,632",$,"106,344,720",52%,$,"36,578,004"
RESERVES:,,,,,,,,,,
Cash Proffers,,$,"500,000",$,"500,000",$,"500,000",0%,,-
School,Claims,,-,,,,,N/A,,-
PACE Program,,,-,,,,,N/A,,-
Economic Development,,,-,,-,,-,N/A,,-
Total Reserves,,$,"500,000",$,"500,000",$,"500,000",0%,,-
,TOTAL:,$,"91,417,289",$,"132,642,540",$,"131,152,531",43%,$,"39,735,242"
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,
