Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”,Name: “Table 1 of 1 on page 30 of 151”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,
,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,
,,,,,REVENUE,REVENUE,,,,,,,
,,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,%,%
REVENUE SUMMARY,REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
MISCELLANEOUS:,MISCELLANEOUS:,,,,,,,,,,,,
EXPENDITURES REFUNDS,EXPENDITURES REFUNDS,$,-,$,"160,825",$,"175,078",,"96,479",,"102,000",6%,0%
MISCELLANEOUS,MISCELLANEOUS,,"129,784",,"204,080",,,,"87,000",,"70,600",-19%,0%
DONATIONS,,,"104,103",,"8,263",,"2,200",,-,,"100,000",N/A,0%
RECOVERED COSTS,RECOVERED COSTS,,"549,350",,"215,527",,"202,847",,"265,000",,"317,500",20%,1%
BOND ISSUE,,,-,,-,,-,,"250,000",,"32,735,000",12994%,98%
TOTAL,,$,"783,237",$,"588,695",$,"380,125",$,"698,479",$,"33,325,100",4671%,100%
NONCATEGORICAL AID:,NONCATEGORICAL AID:,,,,,,,,,,,,
PERSONAL PROPERTY TAX RELIEF,PERSONAL PROPERTY TAX RELIEF,$,"3,725,850",$,"4,260,390",$,"5,575,405",$,"5,115,890",$,"5,115,890",0%,92%
ABC PROFITS,ABC PROFITS,,"32,112",,"12,344",$,"12,344",,"15,000",,"15,000",0%,0%
MOBILE HOME TITLING TAX,MOBILE HOME TITLING TAX,,"78,470",,"80,330",,"57,368",,"75,000",,"75,000",0%,1%
WINE TAXES,,,"19,905",,"12,939",,"12,939",,"15,000",,"15,000",0%,0%
GRANTORS TAX ON DEEDS,GRANTORS TAX ON DEEDS,,"259,681",,"307,151",,"372,065",,"300,000",,"300,000",0%,5%
ROLLING STOCK TAX,ROLLING STOCK TAX,,"33,619",,"65,142",,"31,970",,"35,000",,"35,000",0%,1%
TOTAL,,$,"4,149,637",$,"4,738,296",$,"6,062,091",$,"5,555,890",$,"5,555,890",0%,100%
SHARED EXPENSES:,SHARED EXPENSES:,,,,,,,,,,,,
COMMONWEALTH ATTORNEY,COMMONWEALTH ATTORNEY,$,"231,069",$,"236,291",$,"247,851",$,"258,000",$,"293,085",14%,14%
SHERIFF,,,"1,061,785",,"1,049,768",,"1,067,781",,"1,260,000",,"1,254,848",0%,58%
COMMISSIONER OF REV,COMMISSIONER OF REV,,"110,152",,"89,434",,"115,295",,"150,000",,"130,667",-13%,6%
TREASURER,,,"107,641",,"104,309",,"108,082",,"135,000",,"134,998",0%,6%
MEDICAL EXAMINER,MEDICAL EXAMINER,,120,,210,,180,,200,,200,0%,0%
REGISTRAR/ELECTORAL BOARD,REGISTRAR/ELECTORAL BOARD,,"51,165",,"48,854",,"51,711",,"51,500",,"52,000",1%,2%
CLERK OF CIRCUIT COURT,CLERK OF CIRCUIT COURT,,"397,642",,"361,339",,"401,749",,"228,000",,"300,000",32%,14%
TOTAL,,$,"1,959,574",$,"1,890,205",$,"1,992,649",$,"2,082,700",$,"2,165,798",4%,100%
STATE CATEGORICAL AID:,STATE CATEGORICAL AID:,,,,,,,,,,,,
OTHER CAT.,AID & GRANTS,$,"932,482",$,"808,340",$,"375,838",$,"193,263",$,"239,340",24%,17%
COMPREHENSIVE SERVICES,COMPREHENSIVE SERVICES,,"110,648",,"48,292",,"143,202",,"175,000",,"199,593",14%,14%
PUBLIC ASSIST/WELFARE ADMIN,PUBLIC ASSIST/WELFARE ADMIN,,"567,137",,"569,262",,"639,503",,"987,504",,"983,518",0%,69%
TOTAL,,$,"1,610,267",$,"1,425,894",$,"1,158,543",$,"1,355,767",$,"1,422,451",5%,100%
FEDERAL CATEGORICAL AID:,FEDERAL CATEGORICAL AID:,,,,,,,,,,,,
EMERGENCY SERVICES,EMERGENCY SERVICES,$,"3,089,217",$,"188,434",$,-,$,-,$,-,N/A,0%
OTHER CATEGORICAL AID,OTHER CATEGORICAL AID,,"346,553",,"547,373",,"766,392",,"74,083",,"75,300",2%,4%
PUBLIC ASSIST/WELFARE ADMIN,PUBLIC ASSIST/WELFARE ADMIN,,"1,435,890",,"1,576,880",,"1,610,346",,"1,929,246",,"1,920,168",0%,96%
TOTAL,,$,"4,871,660",$,"2,312,687",$,"2,376,738",$,"2,003,329",$,"1,995,468",0%,100%
SCHOOL AID:,,,,,,,,,,,,,
REVENUE FROM THE STATE,REVENUE FROM THE STATE,$,"19,841,923",$,"22,930,601",$,"24,416,549",$,"27,693,950",$,"28,852,766",4%,85%
