Name: “Table 1 of 1 on page 26 of 151”,Name: “Table 1 of 1 on page 26 of 151”,Name: “Table 1 of 1 on page 26 of 151”
Table: 24,Table: 24,Table: 24
,,
ISLE OF WIGHT COUNTY,,
FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,
SCHEDULE OF RESERVED FUNDS,,
"Estimated as of June 30, 2007",,
General Fund:,,
Cash Proffers,$,"787,386"
Chesapeake Bay Violations,,"8,150"
VDOT Revenue Sharing,,"2,562,000"
Total Reserved Funds in General Fund,$,"3,357,536"
Capital Projects:,,
Economic Development Reserve,$,"2,450,900"
PACE Program Reserve,,"1,675,500"
Land Preservation,,"948,375"
Parks & Recreation Reserve,,"694,000"
Total Reserved Funds in Capital Projects,$,"5,768,775"
"Total Estimated Reserve Funds as of June 30, 2007",$,"9,126,311"
"A Community of CHOICE, Committed to Excellence",,
