Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”,Name: “Table 1 of 1 on page 122 of 151”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,,,,,,,,,,,,,
,,,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,,,,,,,,,,,,,,,,,,
,,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,,,,,,,,,,,,,,,,,,
,,,,,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,,,,,,,,,,,,,,,,,,,,,
,,,,,Capital,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,-----------------------------------------Capital Improvement Plan------------------------------------------,,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,,10 Year
,,,CIP,,Budget,,,,,,,,,,,CIP TOTAL,CIP TOTAL,,,,,,,,,,,Horizon TOTAL,Horizon TOTAL,,CIP
,Department / Agency,,2006-07,,2006-07,,2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,FY 08-12',,2012-13',,2013-14',,2014-15',,2015-16',,2016-17',,FY 13-17',,TOTAL
L,Engineering Division,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
1 Reserve for E&S Control,1 Reserve for E&S Control,,-,,-,,"25,000",,"25,000",,"25,000",,"25,000",,"25,000",,"125,000",,-,,-,,-,,-,,-,,-,,"125,000"
2 County Drainage Plan,,,,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,-,$,-,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"125,000"
Revenue Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Revenues,$,-,$,-,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"125,000"
,Fund Balance/Reserves,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,-,,-
,Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,TOTAL:,$,-,$,-,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"125,000"
NOTE 1:,Request to establish a reserve for erosion and sediment control.,Request to establish a reserve for erosion and sediment control.,Request to establish a reserve for erosion and sediment control.,Request to establish a reserve for erosion and sediment control.,Request to establish a reserve for erosion and sediment control.,Request to establish a reserve for erosion and sediment control.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE 2:,Request to be directed to operating budget.,Request to be directed to operating budget.,Request to be directed to operating budget.,Request to be directed to operating budget.,,,,,,,,,,,,,,,,,,,,,,,,,,,
