Name: “Table 1 of 1 on page 4 of 151”,Name: “Table 1 of 1 on page 4 of 151”
Table: 4,Table: 4
,
TABLE OF CONTENTS CONTINUED,
Judicial Administration ........................................................................................,50
Circuit Court...................................................................................................,51
General District Court ....................................................................................,51
Juvenile and Domestic Relations Court.........................................................,52
Fifth District Court Services Unit....................................................................,52
Clerk of the Circuit Court ...............................................................................,53
Commonwealth Attorney ...............................................................................,55
Public Safety .......................................................................................................,56
Sheriff ............................................................................................................,57
Emergency Services......................................................................................,59
Volunteer Fire Services .................................................................................,61
Volunteer Rescue Services ...........................................................................,61
Inspections and Code Enforcement...............................................................,62
Animal Control ...............................................................................................,64
Emergency Management ..............................................................................,65
Fifth District Community Corrections Program...............................................,66
General Services ................................................................................................,67
Public Works – Administration .......................................................................,68
Public Works – Refuse Collection..................................................................,69
Public Works – Refuse Disposal....................................................................,69
Public Works – Building and Grounds ...........................................................,70
Public Works – Transportation / Maintenance ...............................................,71
Maintenance of Roads...................................................................................,72
Roadway Beautification .................................................................................,73
Engineering Division......................................................................................,74
Health and Welfare .............................................................................................,75
Court Appointed Special Advocate (CASA) ...................................................,76
Juvenile Accountability Program....................................................................,77
Community Youth Programs..........................................................................,77
Western Tidewater Health District .................................................................,78
Western Tidewater Community Services Board ............................................,78
Isle of Wight Substance Abuse Council.........................................................,78
Isle of Wight TRIAD .......................................................................................,78
Endependence Center...................................................................................,78
Commission on Aging....................................................................................,78
State / Local Hospitalization ..........................................................................,78
STOP.............................................................................................................,78
Senior Services of Southeastern Virginia ......................................................,78
Surry Area Free Clinic ...................................................................................,78
Western Tidewater Free Clinic ......................................................................,78
