Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”,Name: “Table 1 of 1 on page 18 of 151”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,
,,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,,,,
,,,,,,FY 2008,,,
,,,,FY 2007,,ADOPTED,,,
FUNCTION,OBJECT,DESCRIPTION,,BUDGET,,BUDGET,$ CHANGE,$ CHANGE,% CHANGE
General Government,100,Salaries & Wages,$,"2,247,568",$,"2,331,517",$,"83,949",3.7%
,200,Employee Benefits,,"740,926",,"773,592",,"32,666",4.4%
,300,Professional/Contracted Services,,"550,350",,"761,585",,"211,235",38.4%
,500,Purchased Services,,"426,223",,"517,656",,"91,433",21.5%
,600,Materials / Supplies,,"64,900",,"63,250",,"(1,650)",-2.5%
,800,Equipment / Vehicles,,"98,550",,"77,000",,"(21,550)",-21.9%
,900,Other,,"60,000",,"69,290",,"9,290",15.5%
,,,$,"4,188,517",$,"4,593,890",$,"405,373",9.7%
Judicial Administration,100,Salaries & Wages,$,"525,502",$,"556,584",$,"31,082",5.9%
,200,Employee Benefits,,"138,163",,"139,574",,"1,411",1.0%
,300,Professional/Contracted Services,,"201,986",,"132,163",,"(69,823)",-34.6%
,500,Purchased Services,,"46,179",,"48,639",,"2,460",5.3%
,600,Materials / Supplies,,"12,100",,"12,400",,300,2.5%
,800,Equipment / Vehicles,,800,,"3,000",,"2,200",275.0%
,,,$,"924,730",$,"892,360",$,"(32,370)",-3.5%
Public Safety,100,Salaries & Wages,$,"2,741,187",$,"3,137,270",$,"396,083",14.4%
,200,Employee Benefits,,"735,791",,"860,462",,"124,671",16.9%
,300,Professional/Contracted Services,,"81,167",,"82,900",,"1,733",2.1%
,500,Purchased Services,,"745,584",,"1,112,583",,"366,999",49.2%
,600,Materials / Supplies,,"239,550",,"274,236",,"34,686",14.5%
,800,Equipment / Vehicles,,"132,433",,"341,700",,"209,267",158.0%
,,,$,"4,675,712",$,"5,809,151",$,"1,133,439",24.2%
General Services,100,Salaries & Wages,$,"1,311,391",$,"1,467,274",$,"155,883",11.9%
,200,Employee Benefits,,"387,578",,"432,062",,"44,484",11.5%
,300,Professional/Contracted Services,,"2,483,830",,"3,389,310",,"905,480",36.5%
,500,Purchased Services,,"387,105",,"450,850",,"63,745",16.5%
,600,Materials / Supplies,,"234,750",,"296,600",,"61,850",26.3%
,800,Equipment / Vehicles,,"99,094",,"103,020",,"3,926",0.0%
,,,$,"4,903,748",$,"6,139,116",$,"1,235,368",25.2%
Health & Welfare,100,Salaries & Wages,$,"81,237",$,"69,279",$,"(11,958)",-14.7%
,200,Employee Benefits,,"33,657",,"27,836",,"(5,821)",-17.3%
,300,Professional/Contracted Services,,"12,200",,"17,000",,"4,800",39.3%
,500,Purchased Services,,"664,402",,"704,931",,"40,529",6.1%
,600,Materials / Supplies,,"1,800",,750,,"(1,050)",-58.3%
,900,Social Services - Local,,"913,710",,"968,532",,"54,822",6.0%
,900,Social Services -State/Federal,,"3,001,329",,"2,978,986",,"(22,343)",-0.7%
,900,Comprehensive Services Act - Local,,"100,000",,"164,407",,"64,407",64.4%
,900,Comprehensive Services Act - State,,"175,000",,"199,593",,"24,593",14.1%
,900,Section 8 - Local,,"20,140",,"72,384",,"52,244",259.4%
,900,Section 8 - State,,"99,774",,"123,840",,"24,066",24.1%
,,,$,"5,103,249",$,"5,327,538",$,"224,289",4.4%
Education,900,State/Federal/Other,$,"32,103,480",$,"33,827,182",$,"1,723,702",5.4%
,900,Local,,"25,215,367",,"27,497,405",,"2,282,038",9.1%
,900,Capital,,"700,000",,"2,441,592",,"1,741,592",248.8%
,,,$,"58,018,847",$,"63,766,179",$,"5,747,332",9.9%
"Parks, Recreation & Cultural",100,Salaries & Wages,$,"607,973",$,"691,383",$,"83,410",13.7%
,200,Employee Benefits,,"147,576",,"188,872",,"41,296",28.0%
,300,Professional/Contracted Services,,"12,000",,"36,300",,"24,300",202.5%
,500,Purchased Services,,"553,830",,"761,656",,"207,826",37.5%
,600,Materials / Supplies,,"292,255",,"216,910",,"(75,345)",-25.8%
,800,Equipment / Vehicles,,"28,600",,"23,800",,"(4,800)",-16.8%
,,,$,"1,642,234",$,"1,918,921",$,"276,687",16.8%
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
