Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”,Name: “Table 1 of 1 on page 28 of 151”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,
,,,,REVENUE,REVENUE,,,,,,,
,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,%,%
REVENUE SUMMARY,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
GENERAL PROPERTY TAXES,$,"27,692,471",$,"30,000,181",$,"31,455,053",$,"33,168,110",$,"36,605,000",10%,28%
OTHER LOCAL TAXES,,"4,227,923",,"4,712,639",,"5,393,306",,"4,974,000",,"6,117,500",23%,5%
"PERMITS, PRIVILEGE FEES",,"697,762",,"1,222,849",,"1,567,278",,"1,259,500",,"1,269,500",1%,1%
FINES AND FORFEITURES,,"40,374",,"46,051",,"64,469",,"45,000",,"45,000",0%,0%
REVENUE FROM USE OF MONEY,,"235,287",,"390,022",,"1,022,083",,"725,000",,"1,300,000",79%,1%
REVENUE FROM USE OF PROPERTY,,"237,699",,"92,198",,"96,161",,"90,000",,"90,000",0%,0%
CHARGES FOR SERVICES,,"197,732",,"227,319",,"523,255",,"831,405",,"967,050",16%,1%
MISCELLANEOUS REVENUE,,"783,237",,"588,695",,"380,125",,"698,479",,"33,325,100",4671%,25%
NON-CATEGORICAL AID,,"4,149,637",,"4,738,296",,"6,062,091",,"5,555,890",,"5,555,890",0%,4%
SHARED EXPENSES,,"1,959,574",,"1,890,205",,"1,992,649",,"2,082,700",,"2,165,798",4%,2%
STATE CATEGORICAL AID,,"1,610,267",,"1,425,894",,"1,158,543",,"1,355,767",,"1,422,451",5%,1%
FEDERAL CATEGORICAL AID,,"4,871,660",,"2,312,687",,"2,376,738",,"2,003,329",,"1,995,468",0%,2%
SCHOOL AID,,"23,541,476",,"26,967,014",,"28,646,369",,"32,103,480",,"33,827,182",5%,26%
RESERVED FUND BAL. - Capital,,-,,-,,-,,"1,135,000",,"200,000",-82%,0%
UNRESERVED FUND BAL. - Capital,,-,,-,,-,,"4,572,992",,"4,666,592",2%,4%
UNRESERVED FUND BAL. - Operating,,-,,-,,-,,"816,637",,"1,600,000",96%,1%
TOTAL,$,"70,245,099",$,"74,614,050",$,"80,738,120",$,"91,417,289",$,"131,152,531",43%,100%
,(includes FEMA-Isabel of $3M),(includes FEMA-Isabel of $3M),,,,,,,,,,
,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,%,%
REVENUE SOURCE:,,,,,,,,,,,,
,,Actual,,Actual,,Actual,,Budget,,Adopted,Change,Total
LOCAL FUND,$,"34,112,485",$,"37,279,954",$,"40,501,730",$,"41,541,494",$,"46,984,150",13%,36%
STATE FUNDS,,"27,561,401",,"30,984,996",,"33,629,832",,"36,688,307",,"37,996,905",4%,29%
FEDERAL FUNDS,,"7,621,385",,"5,366,291",,"5,527,731",,"5,338,829",,"5,780,896",8%,4%
OTHER FUNDS,,"949,828",,"982,809",,"1,078,827",,"1,074,030",,"1,188,988",11%,1%
BONDS,,-,,-,,-,,"250,000",,"32,735,000",N/A,25%
FUND BALANCE,,-,,-,,-,,"6,524,629",,"6,466,592",-1%,5%
TOTAL,$,"70,245,099",$,"74,614,050",$,"80,738,120",$,"91,417,289",$,"131,152,531",43%,100%
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
