Name: “Table 1 of 1 on page 32 of 151”,Name: “Table 1 of 1 on page 32 of 151”,Name: “Table 1 of 1 on page 32 of 151”,Name: “Table 1 of 1 on page 32 of 151”,Name: “Table 1 of 1 on page 32 of 151”,Name: “Table 1 of 1 on page 32 of 151”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,
,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,
,"""ONE CENT EQUALS""","""ONE CENT EQUALS""","""ONE CENT EQUALS""",,
TAX,ADOPTED,ADOPTED,ADOPTED,,ONE CENT
TYPE,TAX RATE,REVENUE,REVENUE,,EQUALS
Real Estate,$0.52 / 100,"$ 20,295,000","$ 20,295,000",$,"390,288"
Personal Property,$4.40 / 100,$,"6,800,000",$,"15,455"
Machinery & Tools,$0.95 / 100,$,"6,400,000",$,"67,368"
Boats / Airplanes,$1.00 / 100,$,"200,000",$,"2,000"
Mobile Home,$0.52 / 100,$,"100,000",$,"1,923"
