Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”,Name: “Table 1 of 1 on page 19 of 151”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,
,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,
,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,
,,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,EXPENDITURE SUMMARY BY FUNCTION,,,,
,,,,,,FY 2008,,,
,,,,FY 2007,,ADOPTED,,,
FUNCTION,OBJECT,DESCRIPTION,,BUDGET,,BUDGET,$ CHANGE,$ CHANGE,% CHANGE
Community Development,100,Salaries & Wages,$,"927,239",$,"965,442",$,"38,203",4.1%
,200,Employee Benefits,,"225,937",,"263,239",,"37,302",16.5%
,300,Professional/Contracted Services,,"268,565",,"340,125",,"71,560",26.6%
,500,Purchased Services,,"199,700",,"209,800",,"10,100",5.1%
,600,Materials / Supplies,,"29,800",,"43,000",,"13,200",44.3%
,800,Equipment / Vehicles,,"5,420",,"20,600",,"15,180",280.1%
,,,$,"1,656,661",$,"1,842,206",$,"185,545",11.2%
Other Financing Uses,100,Non-Departmental Compensation,$,"65,000",$,"46,850",$,"(18,150)",-27.9%
,200,Non-Departmental Benefits,,"109,166",,"55,500",,"(53,666)",-49.2%
,500,Annexation Agreement,,"1,150,000",,"1,150,000",,-,0.0%
,600,Materials / Supplies,,"4,000",,"4,000",,-,0.0%
,900,Capital Projects,,"7,182,992",,"36,635,000",,"29,452,008",410.0%
,900,Debt Service,,"1,037,509",,"1,036,022",,"(1,487)",-0.1%
,900,Reserves,,"500,000",,"500,000",,-,0.0%
,900,Transfer to Other Funds,,"254,924",,"1,435,798",,"1,180,874",463.2%
,,,$,"10,303,591",$,"40,863,170","$ 30,559,579","$ 30,559,579",296.6%
,,Total Expenditures,$,"91,417,289",$,"131,152,531","$ 39,735,242","$ 39,735,242",43.5%
,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
