Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”,Name: “Table 1 of 1 on page 41 of 151”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,,,,,,,,,,,,,,,
,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,
,,,,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,FY 2007-08 GENERAL OPERATING BUDGET,,,,,,
,,,,,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,COMMISSIONER OF THE REVENUE,,,,,,
Object,,Description,,FY 2004,FY 2005,FY 2005,FY 2006,FY 2006,,FY 2006,FY 2007,FY 2007,,FY 2007,FY 2008,FY 2008,,FY 2008,%,%
Org #,,11123100,,Actual,,Actual,,Budget,,Actual,,Budget,Expected,Expected,Requested,Requested,,Adopted,Change,Total
511000,,Salaries & Wages,$,"253,488",$,"278,599",$,"314,933",$,"310,941",$,"326,255",$,"336,478",$,"356,528",$,"356,528",9%,68%
512000,,Overtime,,"6,442",,-,,-,,"2,678",,"2,751",,"6,251",,"3,000",,"3,000",9%,1%
513000,,Part-time Salaries,,"3,818",,"8,632",,"11,416",,"8,325",,"12,006",,"12,006",,"12,000",,"12,000",0%,2%
521000,,Fica/Medicare,,-,,-,,-,,-,,"26,087",,"27,749",,"27,749",,"28,422",9%,5%
522100,,VRS - Retirement,,-,,-,,-,,-,,"33,670",,"35,912",,"35,912",,"38,612",15%,7%
523000,,Hospital/Medical Plan,,-,,-,,-,,-,,"22,866",,"29,923",,"29,923",,"36,047",58%,7%
523100,,Dental Insurance,,-,,-,,-,,-,,"1,535",,"1,535",,"1,535",,"2,488",62%,0%
524000,,Group Life Insurance,,-,,-,,-,,-,,"3,980",,"4,223",,"4,223",,"4,023",1%,1%
528100,,Deferred Comp Plan,,-,,-,,-,,-,,"2,100",,"2,100",,"2,100",,"2,940",40%,1%
529000,,Fringe Benefits,,-,,"62,750",,-,,"75,871",,-,,-,,-,,-,N/A,0%
533100,A,Equip. Repair & Maint.,,-,,"3,937",,"4,300",,-,,"4,000",,"4,000",,"4,625",,"4,625",16%,1%
536000,,Advertising,,58,,167,,100,,-,,100,,100,,100,,100,0%,0%
552100,,Postage,,"2,289",,"3,799",,"6,000",,"8,957",,"4,000",,"4,000",,"4,000",,"4,000",0%,1%
552300,,Telephone,,830,,"1,008",,"1,500",,"1,171",,"3,150",,"3,150",,"3,900",,"3,750",19%,1%
554100,,Equipment Rental,,-,,-,,-,,-,,"1,203",,"1,203",,"1,300",,"1,203",0%,0%
555010,,Travel & Training,,"5,166",,"5,271",,"9,000",,"6,570",,"6,000",,"6,000",,"8,000",,"8,000",33%,2%
