Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”,Name: “Table 1 of 1 on page 144 of 151”
Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142
,,,,,,,,,,
,,,,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,
,,,,,,,,PAY PLAN,,
Grade,Minimum,Minimum,Midpoint,Midpoint,Maximum,Maximum,Title,,Department,FLSA Status
44,$,"32,912",$,"41,141",$,"49,369",Codes Compliance Inspector,Codes Compliance Inspector,Inspections,Non-Exempt
,$,15.82,$,19.78,$,23.74,Construction Inspector,Construction Inspector,Public Utilities,Non-Exempt
,,,,,,,Erosion/Sediment Control Inspector,Erosion/Sediment Control Inspector,Planning & Zoning,Non-Exempt
,,,,,,,GIS Technician,GIS Technician,Information Technology,Non-Exempt
,,,,,,,Information Services Specialist,Information Services Specialist,Information Technology,Non-Exempt
,,,,,,,IT Support Specialist II,IT Support Specialist II,Information Services,Non-Exempt
,,,,,,,Maintenance Supervisor,Maintenance Supervisor,General Services,Non-Exempt
,,,,,,,Marketing & Public Relations Manager,Marketing & Public Relations Manager,Tourism,Non-Exempt
,,,,,,,Paramedic/Intermediate,Paramedic/Intermediate,Emergency Management,Non-Exempt
,,,,,,,Sanitation Supervisor,Sanitation Supervisor,Public Works,Non-Exempt
,,,,,,,Special Events Coordinator,Special Events Coordinator,Tourism,Non-Exempt
,,,,,,,Utility Systems Foreman,Utility Systems Foreman,Public Utilities,Non-Exempt
43,$,"29,386",$,"36,732",$,"44,079",Athletic Coordinator,Athletic Coordinator,Parks & Recreation,Non-Exempt
,,$14.13,,$17.66,,$21.19 Chief Animal Control Officer,$21.19 Chief Animal Control Officer,$21.19 Chief Animal Control Officer,Animal Control,Non-Exempt
,,,,,,,Codes Enforcement Officer,Codes Enforcement Officer,Planning & Zoning,Non-Exempt
,,,,,,,Deputy Clerk III,Deputy Clerk III,COR & Clerk of Court,Non-Exempt
,,,,,,,Electrician,Electrician,General Services,Non-Exempt
,,,,,,,Executive Legal Assistant,Executive Legal Assistant,County Attorney,Non-Exempt
,,,,,,,Firefighter,Firefighter,Emergency Services,Non-Exempt
,,,,,,,FSS/Homeownership Coord,FSS/Homeownership Coord,Section 8,Non-Exempt
,,,,,,,HR Analyst,HR Analyst,Human Resources,Non-Exempt
,,,,,,,IT Support Specialist I,IT Support Specialist I,Information Services,Non-Exempt
,,,,,,,Payroll Technician,Payroll Technician,Budget & Finance,Non-Exempt
,,,,,,,Planning Services Coordinator,Planning Services Coordinator,Planning & Zoning,Non-Exempt
,,,,,,,Real Estate Clerk,Real Estate Clerk,Comissioner of Revenue,Non-Exempt
,,,,,,,Secretary to the County Administrator,Secretary to the County Administrator,County Administration,Non-Exempt
42,$,"26,237",$,"32,797",$,"39,357",Accounts Payable Technician,Accounts Payable Technician,Budget & Finance,Non-Exempt
,$,12.61,$,15.77,$,18.92,Administrative Assistant (All Depts),Administrative Assistant (All Depts),,Non-Exempt
,,,,,,,Center Program Coordinator,Center Program Coordinator,Parks & Recreation,Non-Exempt
,,,,,,,Collections Clerk,Collections Clerk,Treasurer,Non-Exempt
,,,,,,,Deputy Clerk II,Deputy Clerk II,COR & Clerk of Court,Non-Exempt
,,,,,,,Human Resource Assistant,Human Resource Assistant,Human Resources,Non-Exempt
,,,,,,,Juvenille Accountability Coordinator,Juvenille Accountability Coordinator,Youth Programs,Non-Exempt
,,,,,,,Lead Sanitation Equipment Operator,Lead Sanitation Equipment Operator,General Services,Non-Exempt
,,,,,,,Museum Administrator,Museum Administrator,Parks & Recreation,Non-Exempt
,,,,,,,Pump Station Mechanic,Pump Station Mechanic,Public Utilities,Non-Exempt
,,,,,,,Section 8 Coord/Inspector,Section 8 Coord/Inspector,Section 8,Non-Exempt
,,,,,,,Sr. Utilities Accounting Tech.,Sr. Utilities Accounting Tech.,General Services,Non-Exempt
,,,,,,,Utilities System Mechanic,Utilities System Mechanic,General Services,Non-Exempt
,,,,,,,Visitor's Center Manager,Visitor's Center Manager,Tourism,Non-Exempt
41,$,"23,426",$,"29,283",$,"35,140",Animal Control Officer,Animal Control Officer,Animal Control,Non-Exempt
,$,11.26,$,14.08,$,16.89,Dispatcher,Dispatcher,Emergency Communications,Non-Exempt
,,,,,,,"Maintenance Worker III, Landscaper","Maintenance Worker III, Landscaper",Public Works,Non-Exempt
,,,,,,,Sanitation Equipment Operator,Sanitation Equipment Operator,Public Works,Non-Exempt
,,,,,,,Utility Systems Worker,Utility Systems Worker,Public Utilities,Non-Exempt
,,,,,A Community of,A Community of,A Community of,"CHOICE, Committed to Excellence","CHOICE, Committed to Excellence",
