Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”,Name: “Table 1 of 1 on page 109 of 151”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,,,,
ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,FY 2007-08 CAPITAL BUDGET,,,,,,
EXPENDITURE SUMMARY,,County,,School,Public Utility,Public Utility,,Total,% Total,Source
Public Utilities,,,,,,,,,,
Carrisbrooke Water System - Upgrades,,,,,$,"50,000",$,"50,000",,4
Windsor Blvd. Water Extension,,,,,,"315,000",,"315,000",,4
Future Water Source - Plan/Eng/Const,,,,,,"2,000,000",,"2,000,000",,4
Regional Consent Order (SSO),,,,,,"100,000",,"100,000",,4
Camptown/Carrsville Improvements,,,,,,"2,500,000",,"2,500,000",,4
Rt. 58 Water/Sewer Extension,,,,,,"250,000",,"250,000",,4
,,,,,$,"5,215,000",$,"5,215,000",12%,
Public Works,,,,,,,,,,
Refuse Containers,$,"30,000",,,,,$,"30,000",,2
Camp Washington Cleanup,,"50,000",,,,,,"50,000",,2
,$,"80,000",,,,,$,"80,000",0%,
Contingency,$,"100,000",$,-,$,-,$,"100,000",0%,1
,,,,,,,,-,,
TOTAL EXPENDITURES:,$,"36,635,000",$,"2,441,592",$,"5,215,000",$,"44,291,592",100%,
"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,
