Name: “Table 1 of 1 on page 141 of 151”,Name: “Table 1 of 1 on page 141 of 151”,Name: “Table 1 of 1 on page 141 of 151”,Name: “Table 1 of 1 on page 141 of 151”
Table: 139,Table: 139,Table: 139,Table: 139
,,,
,ISLE OF WIGHT COUNTY,,
FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET,FY 2007-08 GENERAL OPERATING AND CAPITAL BUDGET
,POSITION SUMMARY - FULL TIME,,
Function,Department,FY 2007,FY 2008
General Government,General Government,,
,Budget and Finance,6.5,7.0
,Commissioner of Revenue,9.0,9.0
,Communications,1.0,1.0
,County Administration,7.0,6.0
,County Attorney,3.0,3.0
,Human Resources,3.0,3.0
,Information Technology,6.5,6.5
,Registrar,2.0,2.0
,Treasurer,7.0,8.0
General Government Total,General Government Total,45.0,45.5
Judicial Administration,Judicial Administration,,
,Clerk of the Circuit Court,6.0,6.0
,Commonwealth Attorney,4.0,4.0
Judicial Administration Total,Judicial Administration Total,10.0,10.0
Public Safety,,,
,Animal Control,5.0,5.0
,Emergency Services,5.0,8.0
,Inspections and Code Enforcement,9.0,9.0
,Sheriff,44.0,49.0
,E911 Center,13.5,13.5
Public Safety Total,Public Safety Total,76.5,84.5
General Services,General Services,,
,Building and Grounds,16.5,17.5
,Engineering Division,5.0,7.0
,Public Works Administration,2.0,1.5
,Refuse Collection,8.0,8.0
General Services Total,General Services Total,31.5,34.0
Health and Welfare,Health and Welfare,1.5,2.0
"Parks, Recreation & Cultural","Parks, Recreation & Cultural",,
,Historic Resources Division,3.0,3.0
,Parks & Recreation,9.0,12.0
,Skating Rink,0.0,1.0
"Parks, Recreation & Cultural Total","Parks, Recreation & Cultural Total",12.0,16.0
Community Development,Community Development,,
,Economic Development,3.0,3.0
,Planning and Zoning,12.0,12.0
,Tourism,3.0,3.0
Community Development Total,Community Development Total,18.0,18.0
Public Utilities,,12.0,11.5
Grand Total,,206.5,221.5
,"A Community of CHOICE, Committed to Excellence",,
