Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”,Name: “Table 1 of 1 on page 121 of 151”
Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119,Table: 119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,,,,,,,,,,,,,,,,
,,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,FY 2008-12' CAPITAL IMPROVEMENTS PLAN,,,,,,,,,,,,,,,,,,,
,,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,AS ADOPTED BY THE BOARD OF SUPERVISORS,,,,,,,,,,,,,,,,,,
,,,,,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,Department / Agency Detail,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Capital,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,-----------------------------------------Capital Improvement Plan---------------------------,,,,,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,Year 6 through 10 Horizon,,,,,10 Year
,,,,CIP,,Budget,,,,,,,,,,,CIP TOTAL,CIP TOTAL,,,,,,,,,,,Horizon TOTAL,Horizon TOTAL,,CIP
,Department / Agency,,2006-07,2006-07,,2006-07,,2007-08,2008-09,2008-09,2009-10,2009-10,2010-11,2010-11,2011-12,2011-12,,FY 08-12',2012-13',2012-13',2013-14',2013-14',2014-15',2014-15',2015-16',2015-16',2016-17',2016-17',,FY 13-17',,TOTAL
K,Public Libraries,,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Attic Room Completion - Windsor Library,Attic Room Completion - Windsor Library,,"50,000",,"50,000",,-,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,TOTAL:,"$ 50,000","$ 50,000",$,"50,000",$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Revenue Sources:,Revenue Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Revenues,,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
,Fund Balance/Reserves,,,"50,000",,"50,000",,-,,,,,,,,,,-,,-,,,,,,,,,,-,,-
,Bonded / Note Indebtedness,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,-
,Grants / Donations / Other,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,,TOTAL:,"$ 50,000","$ 50,000",$,"50,000",$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-,$,-
Blackwater Regional,Blackwater Regional,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,Library is preparing a needs assessment during FY07 and anticipate submitting a CIP request in FY08.,,,,,,,,,,,,,,,,,,,
