Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”,Name: “Table 1 of 1 on page 53 of 78”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",,
City of Portsmouth,City of Portsmouth,,,,,,,Fiscal Year 2014,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
Code,Account Description,Actual,Adopted,Amended,Budget,Budget,Budget,Budget,Budget
,,,City Garage Fund,City Garage Fund,,,,,
0511 City Garage Fund,0511 City Garage Fund,,,,,,,,
800-55-402-4046-000000-000 City Garage,800-55-402-4046-000000-000 City Garage,,,,,,,,
510099,Sal-Allow for Salary Savings,0,"-68,437","-68,437","-68,113",,,,
511100,Bene-FICA,"88,345","104,251","104,251","105,042",,,,
511115,Bene-Health Insurance,"357,849","240,903","240,903","289,014",,,,
511120,Bene-Dental Insurance,917,948,948,664,,,,
511125,Bene-VRS Life Insurance,"3,205","18,457","18,457","16,338",,,,
511140,Bene-Retirement VRS,"141,995","158,536","158,536","111,135",,,,
511145,Bene-Retirement PSRS,"58,673","58,482","58,482","67,280",,,,
511166,Bene-Allowance for Vacancy,0,"-5,404","-5,404","-6,784",,,,
,Sav,,,,,,,,
511170,Accrued Annual Leave,"-3,179",0,0,0,,,,
511175,Accrued Comp Time,-58,0,0,0,,,,
521202,Contractual-Disposal Fees,723,"3,000","3,000","3,000",,,,
521212,Contractual-Wrecker Services,"82,431","100,000","100,000","70,000",,,,
521905,Contractual-Other,"458,152","270,000","270,000","300,000",,,,
521910,Contractual-Rental Uniforms,"14,157","35,000","35,000","35,000",,,,
522110,Maint-Equipment,"2,966","4,000","4,000","12,000",,,,
524999,Repairs-Other,"11,779","8,000","8,000",0,,,,
531001,Supp-Postage,"4,038","7,500","7,500","7,500",,,,
531701,Supp-Custodial,884,"1,500","1,500","1,500",,,,
531914,Supp-Office and Printing,"4,856","5,000","5,000","5,000",,,,
531920,Supp-Wearing Apparel,"2,434","3,500","3,500","3,500",,,,
531999,Supp-Other,"8,165","7,500","7,500","7,500",,,,
532100,Mat-Automotive Parts,"768,713","700,000","700,000","751,125",,,,
532110,Mat-Tires and Tubes,"326,516","170,630","170,630","170,630",,,,
532160,Mat-Lubricants,"65,508","60,000","60,000","60,000",,,,
533010,Noncap-Equipment,0,"7,000","7,000","7,000",,,,
533030,Noncap-Small Tools,"14,047","16,500","16,500","16,500",,,,
536110,Dues-Memberships,0,500,500,500,,,,
541999,Util-Other,"51,902","47,500","47,500","47,500",,,,
542010,Tele-Telephone,"5,640","10,500","10,500","10,500",,,,
542020,Tele-Telephone Cellular,"2,507","2,500","2,500","2,500",,,,
543010,Fuel-Gasoline and Other,"2,856,768","2,461,152","2,416,810","2,500,000",,,,
553000,Indirect Cost Allocation,"486,282","486,341","486,341","486,341",,,,
554010,Advertising,"3,335","5,400","5,400","5,400",,,,
555100,Training,426,"10,000","10,000","10,000",,,,
555210,Travel,0,"1,500","1,500","1,500",,,,
710130,DS-Lease Purchase Principal,0,"2,166,544","2,166,544","2,216,432",,,,
720130,DS-Lease Purchase Interest,"195,072","168,561","168,561","110,628",,,,
770100,DS-Cost of Issuance,"43,773",0,0,0,,,,
850101,Cap-Equipment-Other,0,0,"44,342","1,128,443",,,,
890999,Depreciation Expense,"1,970,544",0,0,0,,,,
891010,Amortization-Bond Disc/Prem,"6,310",0,0,0,,,,
,800-55-402-4046-000000-000 City,"9,260,420","8,760,305","8,760,305","9,932,748",,,,
,0511 City Garage Fund,"9,260,420","8,760,305","8,760,305","9,932,748",,,,
,800 City Garage Fund,"9,260,420","8,760,305","8,760,305","9,932,748",,,,
,,,Information Technology Fund,Information Technology Fund,Information Technology Fund,,,,
0115 Information Technology,0115 Information Technology,,,,,,,,
810-56-113-1130-000000-000 Information Technology,810-56-113-1130-000000-000 Information Technology,810-56-113-1130-000000-000 Information Technology,,,,,,,
501000,Sal-Full-time,"1,525,779","1,578,104","1,578,104","1,630,564",,,,
501100,Sal-Part-time,"23,867","24,900","24,900","24,900",,,,
510099,Sal-Allow for Salary Savings,0,"-75,809","-75,809","-78,216",,,,
GovMax V5,,,,18-53,,,,,
