Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”,Name: “Table 1 of 1 on page 63 of 78”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major","Revenue Line Item Budget Report grouped by Fund, Account Major",,,
City of Portsmouth,City of Portsmouth,,,,,,,Fiscal Year 2014,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014,,,FY 2018,
Code,Revenue Description,Actual,Adopted,Amended,Budget,,,,
,,,General Fund,General Fund,,,,,
90 Operating Transfers In,90 Operating Transfers In,,,,,,,,
100-00-000-0000-000000-000 General Fund,100-00-000-0000-000000-000 General Fund,,,,,,,,
498900 Trans Fr EDA,,"125,000","125,000","125,000","125,000",,,,
498950 Trans Fr Schools Operating,498950 Trans Fr Schools Operating,"297,195","200,000","200,000","3,400,000",,,,
499300 Trans Fr CIP,,0,"560,000","560,000","560,000",,,,
499400 Trans Fr BHS,,"338,000","338,000","338,000","338,000",,,,
499420 Trans Fr Stormwater Mgmt Fund,499420 Trans Fr Stormwater Mgmt Fund,"282,550","375,557","375,557","410,689",,,,
499700 Trans Fr Public Utility Oper,499700 Trans Fr Public Utility Oper,"7,875,000","7,875,000","7,875,000","8,875,000",,,,
499750 Trans Fr Parking Auth Oper,499750 Trans Fr Parking Auth Oper,0,"196,125","196,125",0,,,,
499820 Trans Fr Risk Management,499820 Trans Fr Risk Management,"410,000",0,0,0,,,,
Fund,,,,,,,,,
Org Code 100-00-000-0000-000000-000,Org Code 100-00-000-0000-000000-000,"9,327,745","9,669,682","9,669,682","13,708,689",,,,
,90 Operating Transfers In,"9,327,745","9,669,682","9,669,682","13,708,689",,,,
91 Bond Proceeds,91 Bond Proceeds,,,,,,,,
100-00-000-0000-000000-000 General Fund,100-00-000-0000-000000-000 General Fund,,,,,,,,
419233 Bond Proceeds-2012 A,419233 Bond Proceeds-2012 A,"24,480,000",0,0,0,0,0,0,0
419236 Bond Premiums-Premium 2012,419236 Bond Premiums-Premium 2012,"1,962,885",0,0,0,0,0,0,0
A,,,,,,,,,
419238 Bond Proceeds-2012 B,419238 Bond Proceeds-2012 B,"6,970,000",0,0,0,0,0,0,0
Org Code 100-00-000-0000-000000-000,Org Code 100-00-000-0000-000000-000,"33,412,885",0,0,0,0,0,0,0
,91 Bond Proceeds,"33,412,885",0,0,0,0,0,0,0
99 Fund Balance,,,,,,,,,
100-00-000-0000-000000-000 General Fund,100-00-000-0000-000000-000 General Fund,,,,,,,,
390098 Budgetary Fund Balance,390098 Budgetary Fund Balance,0,"2,419,041","8,309,207",0,,,,
Org Code 100-00-000-0000-000000-000,Org Code 100-00-000-0000-000000-000,0,"2,419,041","8,309,207",0,,,,
,99 Fund Balance,0,"2,419,041","8,309,207",0,,,,
,100 General Fund,"263,238,272","223,225,100","229,115,266","232,685,811",,,,
GovMax V5,,,,18-63,18-63,,,,
