Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,
"City of Chesapeake, Virginia",,,,,,,,
FY 2011-12 Operating Budget,FY 2011-12 Operating Budget,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,,,,,,
Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management
Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee
assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and,assessed on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and
Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,Service Charges on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.
,,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,,,Millions
60%,,,,,,,,$16
50%,,,,,,,,$14
,,,,,,,,$12
40%,,,,,,,,
,,,,,,,,$10
30%,,,,,,,,
,,,,,,,,$8
20%,,,,,,,,
,,,,,,,,$6
10%,,,,,,,,
,,,,,,,,$4
0%,,,,,,,,$2
-10%,,,,,,,,$0
2004,2005,2006,2007,2008,2009,2010,Budget,Forecast
,,,,,,,2011,2012
,,,Change,,Revenue,,,
,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,
,,Fiscal Year,Fiscal Year,Revenue,Revenue,Change,,
,,,2004,"$4,579,702","$4,579,702",0.5%,,
,,,2005,"$4,739,050","$4,739,050",3.5%,,
,,,2006,"$4,998,371","$4,998,371",5.5%,,
,,,2007,"$6,988,335","$6,988,335",39.8%,,
,,,2008,"$10,524,147","$10,524,147",50.6%,,
,,,2009,"$13,350,476","$13,350,476",26.9%,,
,,,2010,"$14,446,522","$14,446,522",8.2%,,
,,Budget 2011,Budget 2011,"$14,431,471","$14,431,471",-0.1%,,
,,Forecast 2012,Forecast 2012,"$14,908,550","$14,908,550",3.3%,,
FY 2011-12 Operating Budget,,,,71,,,,"Revised June 14, 2011"
