Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”,Name: “Table 1 of 1 on page 34 of 77”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,
FY 2011-12 Operating Budget,FY 2011-12 Operating Budget,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,,,,,
The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of
"conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of"
General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting
"Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.",,
Parks & Recreation Fund - 213,Parks & Recreation Fund - 213,,,,,,,
Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures
"formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).","formerly reported in Funds 100 (General), 540 (Northwest River Park) and 541 ( Recreation Enterprise).",
,,,PARKS & RECREATION FUNDS,PARKS & RECREATION FUNDS,PARKS & RECREATION FUNDS,PARKS & RECREATION FUNDS,,
,"(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)","(Reflecting combined revenues formerly in Funds 100, 540 and 541)",Millions
25%,,,,,,,,$1.6
,,,,,,,,$1.4
20%,,,,,,,,
,,,,,,,,$1.2
15%,,,,,,,,
,,,,,,,,$1.0
10%,,,,,,,,$0.8
,,,,,,,,$0.6
5%,,,,,,,,
,,,,,,,,$0.4
0%,,,,,,,,
,,,,,,,,$0.2
-5%,,,,,,,,$0.0
2004,2005,2006,2007,2008,2009,2010,Budget,Forecast
,,,,,,,2011,2012
,,,Change,,,Revenue,,
