Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”,Name: “Table 1 of 1 on page 21 of 77”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,
FY2011-12 Operating Budget,FY2011-12 Operating Budget,FY2011-12 Operating Budget,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
"Fines, Forfeitures","Fines, Forfeitures",,,,,,,,
"The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including","The City receives monies for fines and forfeitures from cases prosecuted under local ordinances, including"
"criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case","criminal and civil actions as well as traffic fines, parking tickets and bridge weight limit violations. Court case"
"volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local","volumes, duration, types of cases, adjudication practices and number of cases successfully prosecuted under local"
ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of,ordinances are among the complex factors underlying court fines. Parking fine revenues vary with the availability of
