Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”,Name: “Table 1 of 1 on page 33 of 77”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,
FY 2011-12 Operating Budget,FY 2011-12 Operating Budget,,,,,,
REVENUE BUDGET,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Tax Increment Funds - 209 and 212,Tax Increment Funds - 209 and 212,,,,,,
Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development,Fund 209 was established in FY05 to account for revenues and expenditures related to economic development
activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area,activities and infrastructure improvements in the Greenbrier area. A second TIF zone located in the South Norfolk area
"was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue","was added to Fund 209 in FY06, and was moved to Fund 212 in FY09. Revenue is specified as real estate tax revenue"
from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing,from new construction and increases in assessment values within the TIF zones. Tax revenue derived from the existing
assessment base at the time a TIF was established accrues to the General Fund.,assessment base at the time a TIF was established accrues to the General Fund.,assessment base at the time a TIF was established accrues to the General Fund.,assessment base at the time a TIF was established accrues to the General Fund.,assessment base at the time a TIF was established accrues to the General Fund.,assessment base at the time a TIF was established accrues to the General Fund.,,
,,TAX INCREMENT FINANCE FUNDS,TAX INCREMENT FINANCE FUNDS,TAX INCREMENT FINANCE FUNDS,,,Millions
600%,,,,,,,$12
500%,,,,,,,$10
400%,,,,,,,
,,,,,,,$8
300%,,,,,,,
,,,,,,,$6
200%,,,,,,,
,,,,,,,$4
100%,,,,,,,
0%,,,,,,,$2
-100%,,,,,,,$0
2005,2006,2007,2008,2009,2010,Budget 2011,Forecast
,,,,,,,2012
,,Change,,,Total Revenue,,
,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,CHESAPEAKE TAX INCREMENT FUNDS - 209 AND 212 REVENUES,
,Fiscal Year,Greenbrier,South Norfolk,South Norfolk,Total Revenue,Change,
,2005,"$286,127",,$0,"$286,127",,
,2006,"$1,558,821","$147,885","$147,885","$1,706,706",496.5%,
,2007,"$2,595,019","$2,185,712","$2,185,712","$4,780,731",180.1%,
,2008,"$3,793,169","$3,827,645","$3,827,645","$7,620,814",59.4%,
,2009,"$5,004,688","$4,581,474","$4,581,474","$9,586,162",25.8%,
,2010,"$5,551,198","$4,798,023","$4,798,023","$10,349,221",8.0%,
Budget 2011,Budget 2011,"$5,346,231","$4,590,771","$4,590,771","$9,937,002",-4.0%,
Forecast 2012,Forecast 2012,"$4,241,940","$3,769,060","$3,769,060","$8,011,000",-19.4%,
FY 2011-12 Operating Budget,FY 2011-12 Operating Budget,,67,,,"Revised June 14, 2011","Revised June 14, 2011"
