Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2011-12 Operating Budget,FY2011-12 Operating Budget,FY2011-12 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS,ECONOMIC CONSIDERATIONS
Income of Residents,Income of Residents,,,,,,,,,
"Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total","Closely related to employment is income, another important driver of consumption-related tax revenues. Total"
"personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of","personal income adjusted for changes in purchasing power (rising price levels, inflation) continues to rise. The rate of"
growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,growth on a per capita basis is variable but strongly positive since 1996. Personal income drives wealth and,
"consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic","consumption that form the base for local tax revenues. In turn, rising incomes reflect not only better economic"
"opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City.","opportunities for existing residents, but also immigration of high wage workers buying new homes in the City."
,,CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),CHESAPEAKE REAL TOTAL PERSONAL INCOME (1990 $'s),,
,,(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),(Bureau of Economic Analysis County Summary CA1-3),,
7%,,,,,,,,,,
,6.0%,,,,,,,,,
6%,,,5.2%,,,,,,,
,,4.9%,,,,,,,,
5%,,,,,,,,,,
4%,,,,,,3.5%,3.7%,,,
,,,,2.9%,,,,,,
3%,,,,,,,,,,
,,,,,1.8%,,,,,
2%,,,,,,,,,,
,,,,,,,,,0.7%,
1%,,,,,,,,,,
0%,,,,,,,,,,
-1%,,,,,,,,,,
-2%,,,,,,,,-1.2%,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,
,TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),TOTAL PERSONAL INCOME IN BILLIONS (INFLATION-ADJUSTED TO 1990 CONSTANT DOLLARS),
,,,,,Hampton,,,,,
Calendar Year,Virginia,Virginia,Change,,Roads MSA,Change,,Chesapeake,Chesapeake,Change
2000,"171,952","171,952",,,"32,353",,,"4,179",,
2001,"178,892","178,892",,,"33,888",,,"4,432",,6.0%
2002,"181,437","181,437",1.4%,,"35,058",3.5%,,"4,649",,4.9%
2003,"186,178","186,178",2.6%,,"36,550",4.3%,,"4,891",,5.2%
2004,"193,903","193,903",4.1%,,"37,724",3.2%,,"5,034",,2.9%
2005,"200,194","200,194",3.2%,,"38,441",1.9%,,"5,123",,1.8%
2006,"207,778","207,778",3.8%,,"39,900",3.8%,,"5,301",,3.5%
2007,"214,050","214,050",3.0%,,"40,962",2.7%,,"5,497",,3.7%
2008,"213,451","213,451",-0.3%,,"40,732",-0.6%,,"5,432",,-1.2%
2009,"213,706","213,706",0.1%,,"40,720",0.0%,,"5,471",,0.7%
FY2011-12 Operating Budget,FY2011-12 Operating Budget,FY2011-12 Operating Budget,,,42,,,,"Revised June 14, 2011","Revised June 14, 2011"
