Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”,Name: “Table 1 of 1 on page 23 of 77”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,
FY2011-12 Operating Budget,FY2011-12 Operating Budget,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Charges for Services,,,,,,,,
The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These,The City receives a variety of fees for services and commodities provided to citizens and businesses. These
"services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The","services included emergency medical services, engineering services, sale of jail services, and other services. The"
revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now,revenues are intended to collectively help pay for the cost of providing these services. Recreation revenues now
"reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and","reported in Fund 213 are not included. Waste management revenues are included in the FY10 and FY11 figures, and"
the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,the decline in FY12 reflects the rescinding of the Waste Management Charge in mid-FY11.,
,,,CHARGES FOR SERVICES,CHARGES FOR SERVICES,,,,Millions
15%,,,,,,,,$14
10%,,,,,,,,$12
5%,,,,,,,,$10
0%,,,,,,,,$8
-5%,,,,,,,,$6
-10%,,,,,,,,$4
-15%,,,,,,,,$2
-20%,,,,,,,,$0
2004,2005,2006,2007,2008,2009,2010,Budget,Forecast
,,,,,,,2011,2012
,,,Change,,Revenue,,,
,,CHESAPEAKE CHARGES FOR SERVICES REVENUES,CHESAPEAKE CHARGES FOR SERVICES REVENUES,CHESAPEAKE CHARGES FOR SERVICES REVENUES,CHESAPEAKE CHARGES FOR SERVICES REVENUES,CHESAPEAKE CHARGES FOR SERVICES REVENUES,,
,,Fiscal Year,Fiscal Year,Revenue,Change,Change,,
,,2004,2004,"$8,159,968",10.8%,10.8%,,
,,2005,2005,"$8,904,678",9.1%,9.1%,,
,,2006,2006,"$9,653,154",8.4%,8.4%,,
,,2007,2007,"$10,297,464",6.7%,6.7%,,
,,2008,2008,"$10,280,257",-0.2%,-0.2%,,
,,2009,2009,"$10,526,856",2.4%,2.4%,,
,,2010,2010,"$11,664,106",10.8%,10.8%,,
,,Budget 2011,Budget 2011,"$11,312,813",-3.0%,-3.0%,,
,,Forecast 2012,Forecast 2012,"$9,279,210",-18.0%,-18.0%,,
FY 2011-12 Operating Budget,,,,57,,,,"Revised June 14, 2011"
