Name: “Table 1 of 1 on page 1 of 8”,Name: “Table 1 of 1 on page 1 of 8”,Name: “Table 1 of 1 on page 1 of 8”,Name: “Table 1 of 1 on page 1 of 8”
Table: 1,Table: 1,Table: 1,Table: 1
,,,
,Council Approved,Council Approved,
,Fiscal Years 2013-2017,Fiscal Years 2013-2017,
Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan,
,In-Brief,In-Brief,
www.hampton.gov/budget/,www.hampton.gov/budget/,www.hampton.gov/budget/,
Fiscal Years 2013-2017 Expenditure Categories:,,Hampton City Council,
Education,"$37,283,020","Hon. Molly J. Ward, Mayor",
Hampton‟s Waterways,"19,070,000","Hon. George E. Wallace, Vice-Mayor","Hon. George E. Wallace, Vice-Mayor"
Maintenance of Public Properties and,,Council Members,
Performance Support,"49,073,000",,
Master Plans,"10,250,000","Hon. Ross A. Kearney, II",
Neighborhood Support,"2,835,500",Hon. Will J. Moffett,
New Facilities,"3,000,000",,
Other CIP Projects,"6,514,289","Hon. Joseph H. Spencer, II",
Streets and Infrastructure,"26,203,359",Hon. Christopher G. Stuart,
Grand Total: Expenditure Categories,"$154,229,168",,
,,Hon. Donnie R. Tuck,
,,Mary B. Bunting,
Fiscal Years 2013-2017 Revenue Sources:,,City Manager,
General Fund Revenues,,,
General Fund Balance Transfer,"$11,200,000",Table of Contents,
General Fund Operating Revenues,"19,868,681",,
Urban Maintenance Contribution,"24,477,359",FisEcxapl eYnediatrusr e2 0C1a3t-e2g0o1ri7es and,Pg. 1
Total: General Fund Revenues,"55,546,040",Revenue Sources,
Other Revenues,,What is a Capital Improvement,Pg. 2
Economic Development Fund,"250,000",Plan (CIP)? A Project?,
General Obligation Bond Proceeds,"15,000,000",Objectives,Pg. 2
General Obligation Bond Proceeds ~ Schools,"36,437,500",Development Process,Pg. 2
Stormwater Fund,"17,370,000",Revenue Sources,Pg. 3
Urban Development Action Grant Funds,"152,628",,
Wastewater Fund,"29,473,000",Expenditure Categories,Pg. 4
Total: Other Revenues,"98,683,128",Capital Budget Revenues for,Pg. 4
Grand Total: Revenue Sources,"$154,229,168",Fiscal Year 2013,
,,Fiscal Year 2013 Revenue and,Pg. 5
,,Expenditure Graph,
,,Capital Budget Expenditures for,Pg. 6
Interested in proposing a new project or learning about,Interested in proposing a new project or learning about,Fiscal Year 2013,
the status of an existing project? Call 311.,the status of an existing project? Call 311.,Additional Information,Pg. 8
