Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”,Name: “Table 1 of 1 on page 8 of 8”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,
STREETS AND INFRASTRUCTURE (Cont‟d),STREETS AND INFRASTRUCTURE (Cont‟d),STREETS AND INFRASTRUCTURE (Cont‟d),STREETS AND INFRASTRUCTURE (Cont‟d),STREETS AND INFRASTRUCTURE (Cont‟d),,,,,,,,,
Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,Mercury Boulevard Reconstruction ...........................................................................................................................,"375,000","375,000"
"Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include","Continue landscaping and lighting treatment west of the Coliseum in the area from Coliseum Drive to Aberdeen Road, to include"
"installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative","installation of missing sections of sidewalks, street trees in the medians or in the merge area and the addition of more decorative"
pedestrian-level lighting.,pedestrian-level lighting.,pedestrian-level lighting.,,,,,,,,,,,
North King Street – Phase 2,North King Street – Phase 2,North King Street – Phase 2,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,"750,000","750,000"
Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to,Stub out West Little Back River Road and Mac Alva Drive to create a four-way intersection and include road and traffic upgrades to
address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,address the inefficient and unsafe movements at the intersection of North King Street and Little Back River Road.,Additional,Additional
improvements will occur down East Little Back River Road.,improvements will occur down East Little Back River Road.,improvements will occur down East Little Back River Road.,improvements will occur down East Little Back River Road.,improvements will occur down East Little Back River Road.,improvements will occur down East Little Back River Road.,,,,,,,,
Street Resurfacing Program,Street Resurfacing Program,Street Resurfacing Program,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,......................................................................................................................................,"5,138,774","5,138,774"
Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,Resurface and/or reconstruct arterial and residential streets throughout the City.,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed,A tentative street resurfacing plan is developed
annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s,annually by the Department of Public Works and posted on their website at www.hampton.gov/publicworks under the “ What’s
New ” section.,New ” section.,,,,,,,,,,,,
,,,,,,,,Total Expenditures,Total Expenditures,Total Expenditures,Total Expenditures,"$25,239,167","$25,239,167"
,,,,,ADDITIONAL INFORMATION,ADDITIONAL INFORMATION,,,,,,,
