Name: “Table 1 of 1 on page 11 of 19”,Name: “Table 1 of 1 on page 11 of 19”,Name: “Table 1 of 1 on page 11 of 19”
Table: 11,Table: 11,Table: 11
,,
,City of Portsmouth,
,Fiscal Year 2012 Adopted Budget,
,Public Health,
,Behavioral Healthcare Services Fund,
individuals served.,,
• Integrate case management and clinical services to provide quality seamless services to individuals.,• Integrate case management and clinical services to provide quality seamless services to individuals.,
• Decrease the stigma of addiction and promote empowerment with increased involvement of the peer Recovery Advisory,• Decrease the stigma of addiction and promote empowerment with increased involvement of the peer Recovery Advisory,
Board.,,
• Increase partnership with other agencies through the Portsmouth Coalition for Youth and work collaboratively on grants and,• Increase partnership with other agencies through the Portsmouth Coalition for Youth and work collaboratively on grants and,
protective activities to decrease risk factors and increase protective factors.,protective activities to decrease risk factors and increase protective factors.,
- Collaborate with Probation and Parole to develop outpatient services.,,
- Collaboration with Portsmouth School System to develop graduation coaches to address the drop out and graduation rate.,- Collaboration with Portsmouth School System to develop graduation coaches to address the drop out and graduation rate.,
• Increase collaboration with the drug court program to maximize effectiveness and efficiency within substance abuse service,• Increase collaboration with the drug court program to maximize effectiveness and efficiency within substance abuse service,
system and reduction of criminal activity related to substance abuse.,,
- Awarded CARF accreditation for the third consecutive review.,,
Fiscal Year 2012,11,Public Health
