Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,
,Council Approved,Council Approved,Council Approved,
,Fiscal Years 2011-2015,Fiscal Years 2011-2015,Fiscal Years 2011-2015,
Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan
,,In-Brief,,
,www.hampton.gov/budget/,www.hampton.gov/budget/,www.hampton.gov/budget/,
FY 2011-2015 Project Expenditure Categories:,,,,
,,Hampton City Council,Hampton City Council,
Education,"$52,283,020",,,
Hampton’s Waterways,"400,000",Hon. Molly Joseph Ward,Hon. Molly Joseph Ward,
Maintenance of Public Properties and,,,Mayor,
Performance Support,"27,900,000",,,
Master Plans,"6,750,000","Hon. Joseph H. Spencer, II","Hon. Joseph H. Spencer, II","Hon. Joseph H. Spencer, II"
Neighborhood Support,"6,977,628",Vice Mayor,Vice Mayor,
New Facilities,"29,000,000",,,
Other CIP Projects,"5,550,000",Hon. Randall A. Gilliland,Hon. Randall A. Gilliland,
Other Economic Development Support,"900,000","Hon. Ross A. Kearney, II","Hon. Ross A. Kearney, II",
Public Safety,"7,582,259",Hon. Angela Lee Leary,Hon. Angela Lee Leary,
Streets and Infrastructure,"23,205,572",Hon. George E. Wallace,Hon. George E. Wallace,
Grand Total,"$160,548,479","Hon. Paige V. Washington, Jr.","Hon. Paige V. Washington, Jr.","Hon. Paige V. Washington, Jr."
,,Mary B. Bunting,Mary B. Bunting,
,,City Manager,City Manager,
FY 2011-2015 Revenue Sources:,,,,
General Fund Revenues,,,,
General Fund Balance Transfer,"$12,450,000",,,
General Fund Operating Revenues,"27,154,809",,,
Urban Maintenance Contributions,"20,175,000",,,
Total,"59,779,809",Table of Contents,Table of Contents,
Other Revenues,,FY 2011-2015 Project Expenditure,FY 2011-2015 Project Expenditure,Pg. 1
,,Categories and Revenue Sources,Categories and Revenue Sources,
Congestion Mitigation Air Quality Funds,"1,085,572",,,
Economic Development Fund,"6,000,000",W hat is a Capital Improvement,W hat is a Capital Improvement,Pg. 2
General Obligation Bond Proceeds~City,"36,822,970",Plan?,,
General Obligation Bond Proceeds~Schools,"51,437,500",• Objectives .......................,• Objectives .......................,Pg. 2
Highway Safety Improvement Program Funds,"1,945,000",• Development Process ........ Pg. 2,• Development Process ........ Pg. 2,• Development Process ........ Pg. 2
Stormwater Fees,"2,925,000",• Timeline,......................... Pg. 3,......................... Pg. 3
Urban Development Action Grant Funds,"552,628",,,
Total,"100,768,670",FY 2011-2015 Revenue Sources,FY 2011-2015 Revenue Sources,Pg. 4
Grand Total,"$160,548,479",FY 2011-2015 Project Expenditure,FY 2011-2015 Project Expenditure,Pg. 5
,,Categories,,
,,FY 2011 Capital Budget Revenues,FY 2011 Capital Budget Revenues,Pg. 6
Interested in proposing a new project or learning about,Interested in proposing a new project or learning about,Revenues and Expenditures,Revenues and Expenditures,
the status of an existing project? Call 311.,,Additional Information,Additional Information,Pg. 10
