Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”,Name: “Table 1 of 1 on page 62 of 124”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,
,,Project Information,,,,,,
Name:,Contingency,,Category: Other CIP Projects,Category: Other CIP Projects,,,,
Contact:,Christine Snead,,District:,n/a,,,,
Department: Budget and Management Analysis ~ (757) 727-6377,Department: Budget and Management Analysis ~ (757) 727-6377,Department: Budget and Management Analysis ~ (757) 727-6377,,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,
,,Project Description and Scope,Project Description and Scope,,,,,
All capital project costs are estimated.,All capital project costs are estimated.,"Projects may exceed the estimated cost due to an increase in materials, labor","Projects may exceed the estimated cost due to an increase in materials, labor","Projects may exceed the estimated cost due to an increase in materials, labor","Projects may exceed the estimated cost due to an increase in materials, labor",,,
"costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for","costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for","costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for","costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for","costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for","costs, project delays, change orders, etc. The Contingency budget has been established to cover such cost overruns for",,,
previously approved General Fund capital projects.,previously approved General Fund capital projects.,previously approved General Fund capital projects.,,,,,,
,Expenditures,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,,"1,800,000","240,000","390,000","390,000","390,000","390,000"
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,,0,0,0,0,0,0
,,Grand Total,"$1,800,000",,,,,
,Revenues,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,0,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,"1,800,000","240,000","390,000","390,000","390,000","390,000"
General Fund Balance Transfer,General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,0,0,0,0,0,0
,,Grand Total,"$1,800,000","$240,000","$390,000","$390,000","$390,000","$390,000"
Project Status:,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
There is no status to report.,There is no status to report.,,,,,There is no additional impact on the operating budget.,There is no additional impact on the operating budget.,
