Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”,Name: “Table 1 of 1 on page 33 of 124”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,
,Capital Improvement Plan,Capital Improvement Plan,Capital Improvement Plan,,,,,,
,FY 2011 Impact on Operating Budget,FY 2011 Impact on Operating Budget,FY 2011 Impact on Operating Budget,,,,,,
,,Operating Budget Impact,Operating Budget Impact,,,,,,
,Total,Personal,Operating,Capital,,,,,
Project Category/Project,Cost,Services,Expenses,Outlay,,Comments (if applicable),Comments (if applicable),Comments (if applicable),
Education,,,,,,,,,
Hampton City School Maintenance Projects,"5,287,500",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
Hampton City School Major Renovation Projects,"5,000,000",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
Thomas Nelson Community College Site Improv.,"169,104",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
Maintenance of Public Properties and Performance Support,,,,,,,,,
Breakwater at Buckroe Beach,"500,000",324,0,0,Monitoring project/contract completion.,Monitoring project/contract completion.,Monitoring project/contract completion.,Monitoring project/contract completion.,
Building Maintenance Fund,"2,750,000",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
,,,,,Maintenance supplies such as specialty playground,Maintenance supplies such as specialty playground,Maintenance supplies such as specialty playground,Maintenance supplies such as specialty playground,Maintenance supplies such as specialty playground
Parks and Recreation Maintenance,"1,350,000",0,"300,000",0,,,,,
,,,,,mulch and parts for unforeseen repairs.,mulch and parts for unforeseen repairs.,mulch and parts for unforeseen repairs.,mulch and parts for unforeseen repairs.,
Firing Range Improvements,"500,000",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
Neighborhood Support,,,,,,,,,
,,,,,Grounds maintenance for acquired properties such as,Grounds maintenance for acquired properties such as,Grounds maintenance for acquired properties such as,Grounds maintenance for acquired properties such as,Grounds maintenance for acquired properties such as
Blighted Property Acquisition/Demolition,"200,000",0,"2,500",0,,,,,
,,,,,grass cutting.,grass cutting.,,,
,,,,,"Market program, provide application and landscaping","Market program, provide application and landscaping","Market program, provide application and landscaping","Market program, provide application and landscaping","Market program, provide application and landscaping"
Housing Improvement Grants,"300,000","17,260",0,0,and,architectural,design,assistance.,Monitor
,,,,,payments and inspections.,payments and inspections.,payments and inspections.,,
Neighborhood Curb and Gutter Program,"585,000","3,245",0,0,Manage project contract through construction.,Manage project contract through construction.,Manage project contract through construction.,Manage project contract through construction.,
New Facilities,,,,,,,,,
New Circuit Court Building and Parking Lot,"29,000,000",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
Other CIP Projects,,,,,,,,,
Contingency,"240,000",0,0,0,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,No impact on operating budget.,
