Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”,Name: “Table 1 of 1 on page 94 of 124”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Hampton's Waterways,CATEGORY: Hampton's Waterways,,,,,,,
,,The last renourishment project was completed in 2004. The,,,,,,
,,cycle for this beach is every seven years. The Corps of,,,,,,
,,"Engineers has remaining federal funds totaling $499,000,",,,,,,
Buckroe Beach,Public Works -,,,,,,,
,,which must be matched with City funding. Currently there is,"2,500,000",0,0,0,0,"2,500,000"
Renourishment,Engineering,,,,,,,
,,no federal funding available for renourishment or,,,,,,
,,"maintenance projects of this type, therefore the City's share",,,,,,
,,of the project will increase substantially.,,,,,,
,,Continue the City's program to dredge major waterways (Mill,,,,,,
,,"Creek, Harris Creek, Long Creek and the southwest branch of",,,,,,
,,Back River) to improve navigation. Funding for design,,,,,,
,Public Works -,,,,,,,
City-wide Dredging Projects,,work/permits is requested for FY12 for Mill Creek with,0,"500,000","4,800,000","7,000,000","4,900,000","17,200,000"
,Engineering,,,,,,,
,,"dredging to be funded the following year. Harris Creek, Long",,,,,,
,,Creek and Back River will follow that design/construction,,,,,,
,,order.,,,,,,
,Wythe Phenix,,,,,,,
Greenbriar Avenue Drainage,,Scope of project and cost to be determined by the,Not yet,Not yet,Not yet,Not yet,Not yet,Not yet
,Improvement,,,,,,,
and Street Widening Projects,,Department of Public Works.,determined.,determined.,determined.,determined.,determined.,determined.
,Association,,,,,,,
,,Dredging of Indian Creek from Kecoughtan Road to the,,,,,,
,Public Works -,,,,,,,
Indian Creek Dredging,,outfall in Hampton Roads. Severe build up of silt causes,"2,400,000",0,0,0,0,"2,400,000"
,Engineering,,,,,,,
,,upstream flooding to homes during severe weather events.,,,,,,
,Wythe Phenix,,,,,,,
Little England Drainage,,Scope of project and cost to be determined by the,Not yet,Not yet,Not yet,Not yet,Not yet,Not yet
,Improvement,,,,,,,
Project,,Department of Public Works.,determined.,determined.,determined.,determined.,determined.,determined.
,Association,,,,,,,
Mary Peake Outfall,,,,,,,,
,Public Works -,Stream restoration at the lower portion of the Mary Peake,,,,,,
Improvements at New Market,,,0,0,0,0,"1,200,000","1,200,000"
,Engineering,outfall at New Market Creek.,,,,,,
Creek,,,,,,,,
,,Construct a permanent bulkhead along the pond to prevent,,,,,,
Ridgeway Park Bulkhead,Parks & Recreation,further erosion of the bank and runoff of sedimentation in the,"150,000",0,0,0,0,"150,000"
,,tidal basin.,,,,,,
,,The Department is currently studying ways to improve the,,,,,,
,,Salt Ponds Channel Inlet with the goal of reducing sediment,,,,,,
,Public Works -,buildup in the channel which will reduce the frequency of,,,,,,
Salt Pond Inlet Improvements,,,"1,900,000",0,0,0,0,"1,900,000"
,Engineering,dredging. The funding request is a projected cost which will,,,,,,
,,"be used for the development of plans, permit applications and",,,,,,
,,specifications in FY11. Construction would occur in FY12.,,,,,,
