Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”,Name: “Table 1 of 1 on page 65 of 124”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,
,Project Information,,,,,,,
Name:,Retail/Shopping Center Revitalization Prog.,Category: Other Economic Development Support,Category: Other Economic Development Support,Category: Other Economic Development Support,Category: Other Economic Development Support,,,
Contact:,James L. Eason,District: City-wide,,,,,,
Department: Economic Development ~ (757) 727-6237,Department: Economic Development ~ (757) 727-6237,,,,,,,
Project Description and Scope,,,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,,
The program is designed to promote retail recruitment and retention,The program is designed to promote retail recruitment and retention,by encouraging,re-investment in,re-investment in,aging retail,,,
commercial properties.,This is the only retail specific assistance program available to business and property owners city-,This is the only retail specific assistance program available to business and property owners city-,This is the only retail specific assistance program available to business and property owners city-,This is the only retail specific assistance program available to business and property owners city-,This is the only retail specific assistance program available to business and property owners city-,,,
wide.,"It has been a successful program, leveraging public investment to create private investment.","It has been a successful program, leveraging public investment to create private investment.","It has been a successful program, leveraging public investment to create private investment.",Re-investments can,Re-investments can,,,
"take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.","take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.","take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.","take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.","take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.","take the form of façade improvements, renovations, new signage, landscaping and/or build-outs to attract new tenants.",,,
,,,,,,,,Illustrative
,Expenditures,Amount,FY 2011,,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,,$0,,$0,$0,$0,$0,$0
Engineering/Architectural Services,,0,,0,0,0,0,0
Land/Right-of-Way/Acquisition,,0,,0,0,0,0,0
Demolition/Grade/Site Preparation,,0,,0,0,0,0,0
Building/Utility/Construction,,0,,0,0,0,0,0
Equipment/Machinery/Furniture,,0,,0,0,0,0,0
Other Costs,,"900,000",,0,"300,000","200,000","200,000","200,000"
,Grand Total,"$900,000",,,,,,
,Revenues,Amount,FY 2011,,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,$0,,$0,$0,$0,$0,$0
Economic Development Fund,,0,,0,0,0,0,0
General Fund Operating Revenues,,"900,000",,0,"300,000","200,000","200,000","200,000"
General Fund Balance Transfer,,0,,0,0,0,0,0
General Obligation Bond Proceeds~City,,0,,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,0,,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,,0,0,0,0,0
Stormwater Funds,,0,,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,0,,0,0,0,0,0
Urban Maintenance Contributions,,0,,0,0,0,0,0
,Grand Total,"$900,000",,$0,"$300,000","$200,000","$200,000","$200,000"
Project Status:,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
"Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards","Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards","Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards","Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards","Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards","Recent program activity includes the approval of five applications totaling $1,252,274 of private investments. The awards",There is no impact on the operating budget.,There is no impact on the operating budget.,
"for these applications totaled $54,810. Since the inception of this program, over $5 million of private investments has","for these applications totaled $54,810. Since the inception of this program, over $5 million of private investments has","for these applications totaled $54,810. Since the inception of this program, over $5 million of private investments has","for these applications totaled $54,810. Since the inception of this program, over $5 million of private investments has","for these applications totaled $54,810. Since the inception of this program, over $5 million of private investments has",,,,
"been leveraged. For every $1 of public funding, almost $18 of private investment is made.","been leveraged. For every $1 of public funding, almost $18 of private investment is made.","been leveraged. For every $1 of public funding, almost $18 of private investment is made.",,,,,,
