Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”,Name: “Table 1 of 1 on page 110 of 124”
Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102,Table: 102
,,,,,,,,
,,Capital Improvement Plan,Capital Improvement Plan,,,,,
,,Contingency List,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Streets and Infrastructure,CATEGORY: Streets and Infrastructure,,,,,,,
Commander Sheppard,,Continuation of the Commander Sheppard Boulevard,,,,,,
,Public Works -,,,,,,,
Boulevard Extension - Phase,,Extension from the intersection with North Campus Parkway,"150,000","14,500,000",0,0,0,"14,650,000"
,Engineering,,,,,,,
II,,to the intersection with Big Bethel Road and Saunders Road.,,,,,,
Hampton Roads Center North,,,,,,,,
,Public Works - Traffic,Addition of a traffic signal at the Hampton Roads Center,,,,,,
Park - Traffic Signal at North,,,"400,000",0,0,0,0,"400,000"
,Engineering,North Campus.,,,,,,
Campus,,,,,,,,
Kecoughtan Road,Public Works - Traffic,"Replace damaged curbs, sidewalks and eliminate unused",,,,,,
,,,"400,000",0,0,0,0,"400,000"
Improvements,Engineering,aprons from city owned properties.,,,,,,
,,Widen Little Back River Road from King Street to Clemwood,,,,,,
,,Parkway. The widened section will be a four-lane divided,,,,,,
Little Back River Road,Public Works -,roadway. The requested funding is for design and right-of-,,,,,,
,,,0,"2,000,000","4,000,000",0,0,"6,000,000"
Improvements - Phase I,Engineering,way acquisition. Additional funds will be needed for,,,,,,
,,construction of Phase 2 (construction from Clemwood,,,,,,
,,Parkway to Harris Creek Road.),,,,,,
Pasture Point Street,,New street connecting the Pasture Point and Bright's Creek,,,,,,
,Planning,,0,0,"1,150,000",0,0,"1,150,000"
Connections,,areas.,,,,,,
,,The addition of pavement width to accommodate left turn,,,,,,
Pembroke Avenue/Armistead,,,,,,,,
,,lanes on eastbound and westbound Pembroke Avenue. A,,,,,,
Avenue Intersection,Engineering Services,,"250,000","450,000",0,0,0,"700,000"
,,new mast arm traffic signal and pedestrian signals will be,,,,,,
Improvements,,,,,,,,
,,constructed.,,,,,,
Safety Fence over I-64 at,Public Works - Street,,,,,,,
,,Install a safety fence on the bridge crossing Interstate I-64.,0,0,0,0,"100,000","100,000"
Cunningham,Division,,,,,,,
Street Connection from I-64,,,,,,,,
,Planning,New street connecting the ramp from I-64 to King Street.,"1,200,000",0,0,0,0,"1,200,000"
Ramp to King Street,,,,,,,,
,,Connect Wine Street through to the proposed Honor Park,,,,,,
Wine Street Extension,Planning,,"350,000",0,0,0,0,"350,000"
,,and to Pembroke Ave.,,,,,,
,,TOTAL: Streets and Infrastructure,"2,750,000","16,950,000","5,150,000",0,"100,000","24,950,000"
,,TOTAL CONTINGENCY LIST,"$75,393,669","$69,476,249","$88,482,177","$34,213,648","$28,221,536","$295,787,279"
