Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”,Name: “Table 1 of 1 on page 55 of 124”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,,,,,,,,
,,,,,,Project Information,Project Information,Project Information,Project Information,,,,,,,
Name:,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,Blighted Property Acquisition and Demolition,,Category: Neighborhood Support,Category: Neighborhood Support,Category: Neighborhood Support,Category: Neighborhood Support,,,,
Contact:,Terry O'Neill/Steve Shapiro,Terry O'Neill/Steve Shapiro,Terry O'Neill/Steve Shapiro,Terry O'Neill/Steve Shapiro,,,,,,District: City-wide,District: City-wide,,,,,
Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,Department: Neighborhood Task Force ~ (757) 727-8310,,,,,,,,,
Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,,,,
,,,,,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,
Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,Acquire and demolish strategically located and general blighted properties in various neighborhoods to control their,,,
redevelopment.,This,action,has,been,a,key,strategy,in,halting,disinvestments,in,Hampton's,neighborhoods.,,,
Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,Supplemental funding (Community Development) permits acquisitions to continue at an acceptable level.,,,,
,,,,,,,,,,,,,,,Sample Only,
,,Expenditures,Expenditures,,,,,,Amount,,FY 2011,,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,,,,,,,,$0,,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,,,,,,,0,,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,,,,,,"2,000,000","2,000,000",,"200,000","500,000","500,000","400,000","400,000"
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,,,,,"752,628","752,628",,0,"250,000","202,628","150,000","150,000"
Building/Utility/Construction,Building/Utility/Construction,Building/Utility/Construction,,,,,,,,0,,0,0,0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,,,,,,0,,0,0,0,0,0
Other Costs,,,,,,,,,,0,,0,0,0,0,0
,,,,,,Grand Total,Grand Total,,"$2,752,628","$2,752,628",,,,,,
,,Revenues,Revenues,,,,,,Amount,,FY 2011,,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,,,$0,,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,Economic Development Fund,,,,,,,,0,,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,,,,,,"2,200,000","2,200,000",,0,"550,000","550,000","550,000","550,000"
General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,,,,,,,0,,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,,,,,,0,,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,,,,0,,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,,0,,0,0,0,0,0
Stormwater Funds,,,,,,,,,,0,,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,,"552,628","552,628",,"200,000","200,000","152,628",0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,,,,,,,0,,0,0,0,0,0
,,,,,,Grand Total,Grand Total,,"$2,752,628","$2,752,628","$200,000","$200,000","$750,000","$702,628","$550,000","$550,000"
Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Project Status: Inquiry letters were sent to the remaining property owners in the College Court neighborhood to ascertain,Impact on Operating Budget:,Impact on Operating Budget:,
their interest in selling their property.,their interest in selling their property.,their interest in selling their property.,their interest in selling their property.,"This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in","This effort resulted in four client contacts, one property acquisition and one property in",Landscaping maintenance will be required until such time,Landscaping maintenance will be required until such time,Landscaping maintenance will be required until such time
"negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood","negotiations. All other blighted properties have been acquired with other funding sources (CDBG, HOME, Neighborhood",as the property is redeveloped.,,
Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,Stabilization Program or Hampton Redevelopment and Housing Authority funds).,,,,,,
