Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”,Name: “Table 1 of 1 on page 52 of 124”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,
,,Project Information,,,,,,
Name:,Crossroads Structural Parking Garage,Crossroads Structural Parking Garage,Category: Master Plans,,,,,
Contact:,James L. Eason,,District:,3,,,,
Department: Economic Development ~ (757) 727-6237,Department: Economic Development ~ (757) 727-6237,Department: Economic Development ~ (757) 727-6237,,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,
,,Project Description and Scope,,,,,,
Construct a parking garage to serve the private development on the 19-acres adjacent to the Hampton Coliseum.,Construct a parking garage to serve the private development on the 19-acres adjacent to the Hampton Coliseum.,Construct a parking garage to serve the private development on the 19-acres adjacent to the Hampton Coliseum.,Construct a parking garage to serve the private development on the 19-acres adjacent to the Hampton Coliseum.,Construct a parking garage to serve the private development on the 19-acres adjacent to the Hampton Coliseum.,The,,,
"Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,","Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,","Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,","Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,","Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,","Master Plan calls for the west side of the Hampton Coliseum to be redeveloped into several blocks of specialty retail, hotels,",,,
entertainment venues and restaurants.,entertainment venues and restaurants.,This project is intended to be a regional attraction for local residents and provide,This project is intended to be a regional attraction for local residents and provide,This project is intended to be a regional attraction for local residents and provide,This project is intended to be a regional attraction for local residents and provide,,,
amenities for Hampton Roads Convention Center and Hampton Coliseum attendees.,amenities for Hampton Roads Convention Center and Hampton Coliseum attendees.,amenities for Hampton Roads Convention Center and Hampton Coliseum attendees.,amenities for Hampton Roads Convention Center and Hampton Coliseum attendees.,,,,,
,Expenditures,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,,"6,000,000",0,"6,000,000",0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,,0,0,0,0,0,0
,,Grand Total,"$6,000,000",,,,,
,Revenues,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,"6,000,000",0,"6,000,000",0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,0,0,0,0,0,0
General Fund Balance Transfer,General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,0,0,0,0,0,0
,,Grand Total,"$6,000,000",$0,"$6,000,000",$0,$0,$0
Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Project Status: There is currently no status to report on this project. Proceeds from the sale of land will fund this project.,Impact on Operating Budget:,Impact on Operating Budget:,
"Once funding is secured, design work and construction will commence.","Once funding is secured, design work and construction will commence.","Once funding is secured, design work and construction will commence.",,,,It is anticipated that utility costs will be incurred once the,It is anticipated that utility costs will be incurred once the,
,,,,,,building is fully operational.,,
