Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”,Name: “Table 1 of 1 on page 104 of 124”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,
,,Capital Improvement Plan,Capital Improvement Plan,,,,,
,,Contingency List,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Neighborhood Support (Cont'd),CATEGORY: Neighborhood Support (Cont'd),,,,,,,
Pocahontas Place Drainage,Public Works/Street,This project is for a study to improve drainage of Pocahontas,,,,,,
,,,"75,000",0,0,0,0,"75,000"
Study,Division,Place and design a system to handle the street water runoff.,,,,,,
,,Improve the drainage system at the intersection of Todds,,,,,,
Todds Lane @ Big Bethel,Public Works -,,,,,,,
,,Lane and Big Bethel Road to prevent flooding during heavy,"250,000","2,400,000",0,0,0,"2,650,000"
Road Drainage Improvements,Engineering,,,,,,,
,,rain events.,,,,,,
,,"In accordance with the Mary Peake Watershed Study,",,,,,,
,,"funding is requested to complete ""Scenario 3a"" of the study.",,,,,,
Weaver Road Drainage,Public Works -,,,,,,,
,,"The work will be done by ""in-house"" forces to pipe an existing",0,0,0,"100,000","700,000","800,000"
Improvements,Engineering,,,,,,,
,,"open ditch that is narrow, difficult to maintain and in need of",,,,,,
,,increased capacity.,,,,,,
,,The Wythe/I664 Drainage Improvement Study was completed,,,,,,
,,in 2003. A major outfall was installed along with the,,,,,,
Wythe/I-664 Drainage,Public Works -,"upstream detention pond, located at Pembroke and Kentucky",,,,,,
,,,0,0,0,"300,000","1,000,000","1,300,000"
Improvements,Engineering,Avenues. The final phase of the improvements calls for,,,,,,
,,improving the upstream neighborhoods with piping the,,,,,,
,,existing drainage ditches.,,,,,,
,,TOTAL: Neighborhood Support,"7,600,000","3,000,000","645,000","2,250,000","2,300,000","15,795,000"
CATEGORY: New Facilities,,,,,,,,
,,"Construction of a state-of-the-art 20,000 square foot, full-",,,,,,
Armistead Point Branch,,service branch library with increased space for collection,,,,,,
,Public Library,,"400,000","500,000","4,400,000",0,0,"5,300,000"
Library,,"display, public computing, individual study, group study,",,,,,,
,,"tutoring, programming and public meetings.",,,,,,
,,Construction of a major sewage pumping station in the vicinity,,,,,,
,,of Interstate 64/Pine Chapel Road to serve future,,,,,,
Crossroads Area Pumping,Public Works -,,,,,,,
,,"development in the Crossroads area, redevelopment of the","1,875,000",0,0,0,0,"1,875,000"
Station,Wastewater,,,,,,,
,,"Bluebird Gap Farm area, and to eliminate one or more",,,,,,
,,existing sewage pumping stations.,,,,,,
,,Construction of a parking garage and connecting street,,,,,,
Government Center,Planning,extending Syms Street to King Street to facilitate increased,"2,750,000",0,0,0,0,"2,750,000"
,,connectivity across the site.,,,,,,
