Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”,Name: “Table 1 of 1 on page 38 of 124”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,
,Project Information,,,,,,,
Name:,Hampton City Schools Maintenance Projects,Category:,Education,,,,,
Contact:,John Eagle,District:,City-wide,,,,,
Department: City Manager's Office - (757) 727-6392,Department: City Manager's Office - (757) 727-6392,,,,,,,
,Project Description and Scope,,,,,,,
"City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,","City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,","City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,","City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,","City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,","City's annual support to Hampton City Schools for general and routine maintenance projects such as replacing roofs,",,,
"HVAC units, boilers, fire alarm systems, refurbishing hallways, restrooms, etc.","HVAC units, boilers, fire alarm systems, refurbishing hallways, restrooms, etc.",,,,,,,
,Expenditures,Amount,FY 2011,FY 2012,,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,,$0,$0,,$0,$0,$0,$0
Engineering/Architectural Services,,0,0,,0,0,0,0
Land/Right-of-Way/Acquisition,,0,0,,0,0,0,0
Demolition/Grade/Site Preparation,,0,0,,0,0,0,0
Building/Utility/Construction,,"26,437,500","5,287,500","5,287,500","5,287,500","5,287,500","5,287,500","5,287,500"
Equipment/Machinery/Furniture,,0,0,,0,0,0,0
Other Costs,,0,0,,0,0,0,0
,Grand Total,"$26,437,500",,,,,,
,Revenues,Amount,FY 2011,FY 2012,,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,$0,$0,,$0,$0,$0,$0
Economic Development Fund,,0,0,,0,0,0,0
General Fund Operating Revenues,,0,0,,0,0,0,0
General Fund Balance Transfer,,0,0,,0,0,0,0
General Obligation Bond Proceeds~City,,0,0,,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,"26,437,500","5,287,500","5,287,500","5,287,500","5,287,500","5,287,500","5,287,500"
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,0,,0,0,0,0
Stormwater Funds,,0,0,,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,0,0,,0,0,0,0
Urban Maintenance Contributions,,0,0,,0,0,0,0
,Grand Total,"$26,437,500","$5,287,500","$5,287,500","$5,287,500","$5,287,500","$5,287,500","$5,287,500"
"Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle","Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle","Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle","Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle","Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle","Project Status: Tentative projects include replacing the kitchen HVAC systems at eight elementary schools, four middle",Impact on Operating Budget:,Impact on Operating Budget:,
schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,schools and four high schools; auditorium upgrades at one middle school and two high schools; classroom upgrades a oneThe Hampton City Schools are considered a component,
"high school. {For a complete list of projects or additional information on a particular project, contact Hampton City","high school. {For a complete list of projects or additional information on a particular project, contact Hampton City","high school. {For a complete list of projects or additional information on a particular project, contact Hampton City","high school. {For a complete list of projects or additional information on a particular project, contact Hampton City","high school. {For a complete list of projects or additional information on a particular project, contact Hampton City",unit of the City. There is no direct impact on the City's,unit of the City. There is no direct impact on the City's,unit of the City. There is no direct impact on the City's,
"Schools' Department of Facilities, Planning and Construction at (757) 727-2100.}","Schools' Department of Facilities, Planning and Construction at (757) 727-2100.}","Schools' Department of Facilities, Planning and Construction at (757) 727-2100.}",,,operating budget.,operating budget.,,
