Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”,Name: “Table 1 of 1 on page 106 of 124”
Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98,Table: 98
,,,,,,,,
,,Capital Improvement Plan,Capital Improvement Plan,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Other CIP Projects (Cont'd),CATEGORY: Other CIP Projects (Cont'd),,,,,,,
,,Replacement of laundry equipment for the Hampton,,,,,,
,,Community Corrections Facilities (inmate uniforms only). The,,,,,,
Laundry Equipment for City,,"current equipment, which was installed in 1998, is at the end",,,,,,
,Sheriff's Office,,"90,000","90,000","90,000",0,0,"270,000"
Jail,,of its useful life. Constant repair is required due to the daily,,,,,,
,,usage and the equipment is now at a point of severe,,,,,,
,,deterioration.,,,,,,
,,Funding for future projects for compliance with the City's,,,,,,
,,stormwater permit. Negotiations are underway with the,,,,,,
,,Virginia Department of Conservation and Recreation and the,,,,,,
MS4 Permit Compliance,Public Works -,,,,,,,
,,Environmental Protection Agency on the new permit,0,0,"600,000","1,000,000",0,"1,600,000"
Project,Engineering,,,,,,,
,,requirements. It is expected that funds will be needed to,,,,,,
,,begin retrofitting existing developed areas of the City to,,,,,,
,,reduce stormwater pollutions,,,,,,
,,TOTAL: Other CIP Projects,"1,640,000","250,000","690,000","1,000,000",0,"3,580,000"
CATEGORY: Outside Agencies,CATEGORY: Outside Agencies,,,,,,,
"Curbs, Gutters and Sidewalks",Hugh Bassette,,,,,,,
,,Complete Phase II of Old North Hampton Neighborhood curb,,,,,,
for Old North Hampton,Old North Hampton,,"1,040,000","1,040,000","1,040,000","1,040,000","1,040,000","5,200,000"
,,and gutter program.,,,,,,
Neighborhood,Comm. Org.,,,,,,,
I-64 Mercury Interchange,Coliseum BID (Public,Add amenities to the stormwater wet pond within the,,,,,,
,,,0,0,0,"500,000",0,"500,000"
Landscape - Phase II,Works),interchange.,,,,,,
,,Continue landscaping and lighting treatment east of the,,,,,,
Mercury Blvd. Streetscape,,"Coliseum in the area from Coliseum Drive to Aberdeen Road,",,,,,,
,Coliseum BID (Public,,,,,,,
from Coliseum Drive to,,"to include installation mission sections of sidewalks, street",0,0,0,"750,000",0,"750,000"
,Works),,,,,,,
Aberdeen Road,,trees in the medians or in the merge area and adding more,,,,,,
,,decorative and pedestrian level lighting.,,,,,,
,,Construct pedestrian walkways along both sides of Mercury,,,,,,
Mercury Blvd. Walkways,,,,,,,,
,Coliseum BID (Public,Boulevard between Coliseum Drive and Armistead Avenue,,,,,,
between Coliseum and,,,0,0,0,"2,500,000",0,"2,500,000"
,Works),including pedestrian crossing signals and additional,,,,,,
Armistead Ave.,,,,,,,,
,,pedestrian level lighting.,,,,,,
,,"Construct a stair, ADA accessible connection and amenities",,,,,,
Pine Chapel Stair/Ramp and,Coliseum BID (Public,,,,,,,
,,between Pine Chapel Road and the trail around the Power,0,0,0,"500,000",0,"500,000"
Amenities,Works),,,,,,,
,,Plant lake.,,,,,,
,,TOTAL: Outside Agencies,"1,040,000","1,040,000","1,040,000","5,290,000","1,040,000","9,450,000"
