Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”,Name: “Table 1 of 1 on page 50 of 124”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,
,,Project Information,,,,,,
Name:,Re-engineering Technology,,Category: Maintenance of Public Properties,Category: Maintenance of Public Properties,,,,
Contact:,John Eagle,,,and Performance Support,,,,
Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,,District: City-wide,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,
,,Project Description and Scope,Project Description and Scope,,,,,
The scope of re-engineering projects is to enhance service delivery and improve customer satisfaction.,The scope of re-engineering projects is to enhance service delivery and improve customer satisfaction.,The scope of re-engineering projects is to enhance service delivery and improve customer satisfaction.,The scope of re-engineering projects is to enhance service delivery and improve customer satisfaction.,The scope of re-engineering projects is to enhance service delivery and improve customer satisfaction.,Teams are,,,
comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,comprised of customers and employees who partner to re-design applicable processes to be more cost effective while,,,
"improving speed, quality and convenience of services.","improving speed, quality and convenience of services.","Since its inception, funding has been utilized to connect all City","Since its inception, funding has been utilized to connect all City","Since its inception, funding has been utilized to connect all City","Since its inception, funding has been utilized to connect all City",,,
"departments to the financial system through PC networks and develop a one call, one contact customer information and","departments to the financial system through PC networks and develop a one call, one contact customer information and","departments to the financial system through PC networks and develop a one call, one contact customer information and","departments to the financial system through PC networks and develop a one call, one contact customer information and","departments to the financial system through PC networks and develop a one call, one contact customer information and","departments to the financial system through PC networks and develop a one call, one contact customer information and",,,
"problem resolution/response line - ""311.""","problem resolution/response line - ""311.""",,,,,,,
,Expenditures,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,,0,0,0,0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,,"700,000",0,"100,000","200,000","200,000","200,000"
,,Grand Total,"$700,000",,,,,
,Revenues,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,0,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,"700,000",0,"100,000","200,000","200,000","200,000"
General Fund Balance Transfer,General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,0,0,0,0,0,0
,,Grand Total,"$700,000",$0,"$100,000","$200,000","$200,000","$200,000"
"Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions","Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions","Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions","Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions","Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions","Project Status: In March 2010, the City's upgraded financial system (New World System) went live. Training sessions",Impact on Operating Budget:,Impact on Operating Budget:,
have been conducted on the system's various components.,have been conducted on the system's various components.,have been conducted on the system's various components.,,,,Certain projects that are implemented may require lease,Certain projects that are implemented may require lease,
,,,,,,and maintenance payments as part of a contractual,and maintenance payments as part of a contractual,
,,,,,,obligation.,,
