Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”,Name: “Table 1 of 1 on page 60 of 124”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,
,Project Information,,,,,,,
Name:,New Circuit Court Building and Parking Garage,Category:,New Facilities,,,,,
Contact:,Lynn Allsbrook,District:,8,,,,,
Department: Public Works Administration ~ (757) 727-6346,Department: Public Works Administration ~ (757) 727-6346,,,,,,,
Project Description and Scope,,,,,,,,
,Project Description and Scope,,,,,,,
"Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal","Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal","Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal","Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal","Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal","Construct a new 63,000 square foot Circuit Court building on Pembroke Avenue at Eaton Street {within the municipal",,,
complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,complex} and a 400-space parking garage in the City Hall parking lot. The existing Circuit Court building does not meet the,,,
"needs of the court in terms of security, circulation, access and future growth in caseloads.","needs of the court in terms of security, circulation, access and future growth in caseloads.","needs of the court in terms of security, circulation, access and future growth in caseloads.","needs of the court in terms of security, circulation, access and future growth in caseloads.",A Needs Assessment study,A Needs Assessment study,,,
was performed for the Circuit Court and concluded that construction of a new facility was the best option.,was performed for the Circuit Court and concluded that construction of a new facility was the best option.,was performed for the Circuit Court and concluded that construction of a new facility was the best option.,was performed for the Circuit Court and concluded that construction of a new facility was the best option.,,,,,
,,,,,,,,Existing Facility
,Expenditures,Amount,FY 2011,FY 2012,,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,,"$600,000","$600,000",,$0,$0,$0,$0
Engineering/Architectural Services,,0,,0,0,0,0,0
Land/Right-of-Way/Acquisition,,0,,0,0,0,0,0
Demolition/Grade/Site Preparation,,0,,0,0,0,0,0
Building/Utility/Construction,,"27,900,000","27,900,000",,0,0,0,0
Equipment/Machinery/Furniture,,"500,000",,"500,000",0,0,0,0
Other Costs,,0,,0,0,0,0,0
,Grand Total,"$29,000,000",,,,,,
,Revenues,Amount,FY 2011,FY 2012,,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,,$0,,$0,$0,$0,$0,$0
Economic Development Fund,,0,,0,0,0,0,0
General Fund Operating Revenues,,0,,0,0,0,0,0
General Fund Balance Transfer,,0,,0,0,0,0,0
General Obligation Bond Proceeds~City,,"29,000,000","29,000,000",,0,0,0,0
General Obligation Bond Proceeds~School,,0,,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,,0,0,0,0,0
Stormwater Funds,,0,,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,,0,,0,0,0,0,0
Urban Maintenance Contributions,,0,,0,0,0,0,0
,Grand Total,"$29,000,000","$29,000,000",,$0,$0,$0,$0
Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Project Status: The design work for the new Circuit Court building is thirty percent complete with total completion schedule,Impact on Operating Budget:,Impact on Operating Budget:,
for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,for December 2010. Construction is scheduled to begin in March 2011 and conclude by summer 2012. The design work for the,"Once the new facility has been constructed, an increase in","Once the new facility has been constructed, an increase in","Once the new facility has been constructed, an increase in"
parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,parking garage is scheduled to be completed October 2010. Construction is scheduled to begin in January 2011 and conclude,utility costs is anticipated. The level of increase has not yet,utility costs is anticipated. The level of increase has not yet,utility costs is anticipated. The level of increase has not yet
by fall 2012.,,,,,,been determined.,,
