Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”,Name: “Table 1 of 1 on page 99 of 124”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),,,,,,
Northampton Community,,Construct indoor pool addition to the existing community,,,,,,
,Parks & Recreation,,0,"2,000,000",0,0,0,"2,000,000"
Center Pool,,center.,,,,,,
,,"Construct a state-of-the-art 20,000 square foot, full-service",,,,,,
,,branch library facility with increased space for collections,,,,,,
Willow Oaks Branch Library,Public Library,,"400,000","1,500,000","4,400,000",0,0,"6,300,000"
,,"display, public computing, individual and group study,",,,,,,
,,"tutoring, programming and public meetings.",,,,,,
,,Install bulkheads and/or retaining walls along the Hampton,,,,,,
Woodlands Golf Course:,,,,,,,,
,Parks & Recreation,River which runs through the course. Included in this estimate,"420,000",0,0,0,0,"420,000"
Erosion Plan and Improvement,,,,,,,,
,,"are the costs for regulatory permits, design and inspections.",,,,,,
Woodlands Golf Course:,,Remove and replace deteriorated asphalt in the parking lot.,,,,,,
,Parks & Recreation,,0,0,0,0,"317,761","317,761"
Parking Lot Improvements,,Overlay four miles of cart paths.,,,,,,
Woodland's Golf Course:,,Completely renovate all 18 greens and the practice putting,,,,,,
,Parks & Recreation,,0,"85,000",0,0,0,"85,000"
Greens Renovations,,green with new bent grass.,,,,,,
,,TOTAL: Maintenance of Public Properties and Performance Support,"23,274,988","28,843,275","12,200,775","8,640,000","6,782,761","79,741,799"
CATEGORY: Master Plans,,,,,,,,
,,Acquire land along Armistead Avenue (west side of Armistead,,,,,,
Armistead Avenue Property,Economic,"Avenue bordered by Heffelfinger Street, Back River Road and",,,,,,
,,,0,0,"900,000",0,0,"900,000"
Acquisitions and Demolitions,Development,Interstate 64) to facilitate the Master Plan's recommendations,,,,,,
,,for the area.,,,,,,
,,Develop plans to restore Bright's Creek to an urban greenway,,,,,,
,,and City-wide amenity. A new in-town neighborhood is to be,,,,,,
,Planning Department:,developed between Downtown and the northern edge of the,,,,,,
Bright's Creek Greenway,,,0,0,0,"200,000","200,000","400,000"
,Planning Division,greenway. A high quality commercial development is to be,,,,,,
,,created between Interstate-64 and the northern edge of the,,,,,,
,,greenway.,,,,,,
Buckroe Master Plan: Atlantic,Economic,Anticipated funds needed for property acquisition and,,,,,,
,,,0,0,"5,000,000",0,0,"5,000,000"
Avenue Redevelopment,Development,demolition in the Atlantic Avenue area.,,,,,,
,,Establish Buckroe Avenue as the community's main street by,,,,,,
Buckroe Master Plan: Buckroe,Economic,,,,,,,
,,improving public areas along Buckroe Avenue between,0,0,0,"600,000",0,"600,000"
Avenue,Development,,,,,,,
,,Mallory and First Streets.,,,,,,
Buckroe Master Plan:,Economic,,,,,,,
,,Reposition the Buckroe Shopping Center.,0,0,"750,000",0,0,"750,000"
Buckroe Shopping Center,Development,,,,,,,
