Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”,Name: “Table 1 of 1 on page 86 of 124”
Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78
,,,,,,,,,,,,,,,,,,,
,,,,Project Information,Project Information,Project Information,,,,,,,,,,,,,
Name:,Street Resurfacing/Reconstruction,Street Resurfacing/Reconstruction,Street Resurfacing/Reconstruction,,,,Category:,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,Streets and Infrastructure,,,,
Contact:,Roy Chesterfield,,,,,,District:,City-wide,City-wide,City-wide,,,,,,,,,
PDreopjaerctt mDeenst:cripPtuibolinc aWndo rkSsc-opSetreets,PDreopjaerctt mDeenst:cripPtuibolinc aWndo rkSsc-opSetreets,and,Roads,(757),726-2914,726-2914,,,,,,,,,,,,,
,,,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,,,
This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,This project resurfaces and/or reconstructs arterial and residential streets throughout the City based on a tentative,,,
schedule that is developed annually.,schedule that is developed annually.,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,Curb and gutter or similar edge treatments will be incorporated to streets requiring,,,
reconstruction wherever feasible.,reconstruction wherever feasible.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Illustrative,,
,Expenditures,,,,,Amount,,,FY 2011,FY 2011,FY 2011,FY 2011,,,FY 2012,,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,,,,,$0,,,,,,$0,,,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,,,,,0,,,,,,0,,,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,,,,,0,,,,,,0,,,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,,,,,0,,,,,,0,,,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,,,,,,"20,175,000",,,"4,035,000","4,035,000","4,035,000","4,035,000",,,"4,035,000","4,035,000","4,035,000","4,035,000"
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,,,,,0,,,,,,0,,,0,0,0,0
Other Costs,,,,,,,0,,,,,,0,,,0,0,0,0
,,,Grand Total,Grand Total,,"$20,175,000","$20,175,000",,,,,,,,,,,,
,Revenues,,,,,Amount,,,FY 2011,FY 2011,FY 2011,FY 2011,,,FY 2012,,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,,,$0,,,,,,$0,,,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,,,,,0,,,,,,0,,,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,,,,,0,,,,,,0,,,0,0,0,0
General Fund Balance Transfer,General Fund Balance Transfer,,,,,,0,,,,,,0,,,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,,,,0,,,,,,0,,,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,,,,0,,,,,,0,,,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,,0,,,,,,0,,,0,0,0,0
Stormwater Funds,,,,,,,0,,,,,,0,,,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,,,0,,,,,,0,,,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,,,,,"20,175,000",,,"4,035,000","4,035,000","4,035,000","4,035,000",,,"4,035,000","4,035,000","4,035,000","4,035,000"
,,,Grand Total,Grand Total,,"$20,175,000","$20,175,000",,,"$4,035,000","$4,035,000","$4,035,000","$4,035,000",,,"$4,035,000","$4,035,000","$4,035,000","$4,035,000"
