Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”,Name: “Table 1 of 1 on page 39 of 124”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,
,Project Information,,,,,,
Name:,Hampton City Schools Major Renovations,Category:,Education,,,,
Contact:,John Eagle,District:,City-wide,,,,
Department: City Manager's Office - (757) 727-6392,Department: City Manager's Office - (757) 727-6392,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,
Funding to assist Hampton City Schools with implementing renovations to existing facilities that are beyond the scope of,Funding to assist Hampton City Schools with implementing renovations to existing facilities that are beyond the scope of,Funding to assist Hampton City Schools with implementing renovations to existing facilities that are beyond the scope of,Funding to assist Hampton City Schools with implementing renovations to existing facilities that are beyond the scope of,Funding to assist Hampton City Schools with implementing renovations to existing facilities that are beyond the scope of,,,
"routine maintenance such as reconstructing building facades, updating/upgrading access for those with disabilities, etc.","routine maintenance such as reconstructing building facades, updating/upgrading access for those with disabilities, etc.","routine maintenance such as reconstructing building facades, updating/upgrading access for those with disabilities, etc.","routine maintenance such as reconstructing building facades, updating/upgrading access for those with disabilities, etc.",,,,
,Expenditures,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,,"25,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,0,0,0,0,0,0
,Grand Total,"$25,000,000",,,,,
,Revenues,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,$0,$0,$0,$0,$0,$0
Economic Development Fund,,0,0,0,0,0,0
General Fund Operating Revenues,,0,0,0,0,0,0
General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,"25,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,0,0,0,0,0
Stormwater Funds,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,0,0,0,0,0,0
Urban Maintenance Contributions,,0,0,0,0,0,0
,Grand Total,"$25,000,000","$5,000,000","$5,000,000","$5,000,000","$5,000,000","$5,000,000"
Project Status:,Tentative projects include replacing the front canopy and glass entrance at one high school and,Tentative projects include replacing the front canopy and glass entrance at one high school and,Tentative projects include replacing the front canopy and glass entrance at one high school and,,Impact on Operating Budget:,Impact on Operating Budget:,
modifying the front entrance/breezeway of six elementary schools. {For a complete list of projects or additional,modifying the front entrance/breezeway of six elementary schools. {For a complete list of projects or additional,modifying the front entrance/breezeway of six elementary schools. {For a complete list of projects or additional,modifying the front entrance/breezeway of six elementary schools. {For a complete list of projects or additional,,The Hampton City Schools are considered a component,The Hampton City Schools are considered a component,
"information on a particular project, contact Hampton City Schools' Department of Facilities, Planning and Construction","information on a particular project, contact Hampton City Schools' Department of Facilities, Planning and Construction","information on a particular project, contact Hampton City Schools' Department of Facilities, Planning and Construction","information on a particular project, contact Hampton City Schools' Department of Facilities, Planning and Construction",,unit of the City. There is no direct impact on the City's,unit of the City. There is no direct impact on the City's,
at (757) 727-2100}.,,,,,operating budget.,,
