Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”,Name: “Table 1 of 1 on page 42 of 124”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,
,,Project Information,,,,,,
Name:,Salt Ponds Channel Dredging,,Category:,Hampton's Waterways,,,,
Contact:,Chuck Fleming,,District:,"6, 7",,,,
Department: Department of Public Works - (757) 727-6346,Department: Department of Public Works - (757) 727-6346,,,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,
,,Project Description and Scope,,,,,,
Periodic maintenance dredging of the Salt Ponds Channel.,Periodic maintenance dredging of the Salt Ponds Channel.,Additional improvements to the channel entrance were completed,Additional improvements to the channel entrance were completed,Additional improvements to the channel entrance were completed,Additional improvements to the channel entrance were completed,,,
in the hope that it would reduce the frequency of dredging.,in the hope that it would reduce the frequency of dredging.,"However, the channel experiences silt deposit which requires","However, the channel experiences silt deposit which requires","However, the channel experiences silt deposit which requires","However, the channel experiences silt deposit which requires",,,
periodic maintenance dredging.,periodic maintenance dredging.,,,,,,,
,Expenditures,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility Construction,Building/Utility Construction,,"400,000",0,0,"400,000",0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,,0,0,0,0,0,0
,,Grand Total,"$400,000",,,,,
,Revenues,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,0,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,"400,000",0,0,"400,000",0,0
General Fund Balance Transfer,General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,0,0,0,0,0,0
,,Grand Total,"$400,000",$0,$0,"$400,000",$0,$0
Project Status:,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
Maintenance dredging was completed in July 2006 and again in 2009.,Maintenance dredging was completed in July 2006 and again in 2009.,Maintenance dredging was completed in July 2006 and again in 2009.,,,,There is no impact on the operating budget.,There is no impact on the operating budget.,
