Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”,Name: “Table 1 of 1 on page 69 of 124”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,
,,Project Information,,,,,,
Name:,Relocation of EOC/911/311,,,Category: Public Safety,,,,
Contact:,"James A. Gray, Jr./Curt Shaffer",,,District:,1,,,
Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,
,,Project Description and Scope,Project Description and Scope,,,,,
"Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency","Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency","Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency","Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency","Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency","Construct a consolidated 18,000 square foot facility to house the City's Emergency Operations Center, Emergency",,,
"Management, Emergency 911 and the Customer Call Center 311.","Management, Emergency 911 and the Customer Call Center 311.","Management, Emergency 911 and the Customer Call Center 311.",The facility will be located at the rear of the newly,The facility will be located at the rear of the newly,The facility will be located at the rear of the newly,,,
constructed Fire Station 11 on Big Bethel Road.,constructed Fire Station 11 on Big Bethel Road.,The location and equipping of this new facility will reduce the risk,The location and equipping of this new facility will reduce the risk,The location and equipping of this new facility will reduce the risk,The location and equipping of this new facility will reduce the risk,,,
"exposure during severe weather events, i.e. hurricanes and","exposure during severe weather events, i.e. hurricanes and","exposure during severe weather events, i.e. hurricanes and",ensure the continuation of vital public safety services to,ensure the continuation of vital public safety services to,ensure the continuation of vital public safety services to,,,
"our citizens, especially during times of emergency.","our citizens, especially during times of emergency.",,,,,,,
,Expenditures,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,"$500,000","$500,000",$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,"294,000",0,"294,000",0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,,"3,778,970",0,"3,778,970",0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,,"500,000",0,"500,000",0,0,0
,,Grand Total,"$5,072,970",,,,,
,Revenues,,Amount,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,,0,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,,0,0,0,0,0,0
General Fund Balance Transfer,General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,"5,072,970","500,000","4,572,970",0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,0,0,0,0,0,0
Stormwater Funds,Stormwater Funds,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,,0,0,0,0,0,0
,,Grand Total,"$5,072,970","$500,000","$4,572,970",$0,$0,$0
Project Status:,Design of the EOC/911/311 facility will be initiated in fiscal year 2011.,Design of the EOC/911/311 facility will be initiated in fiscal year 2011.,Design of the EOC/911/311 facility will be initiated in fiscal year 2011.,The start of this project is pending,The start of this project is pending,Impact on Operating Budget:,Impact on Operating Budget:,
appropriation of funding.,appropriation of funding.,,,,,There is no impact on the operating budget.,There is no impact on the operating budget.,
