Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,,,,,,
,,,,,Project Information,Project Information,Project Information,Project Information,,,,,,
Name:,City-wide Landscaping Upgrade,City-wide Landscaping Upgrade,City-wide Landscaping Upgrade,City-wide Landscaping Upgrade,,,,Category: Maintenance of Public Properties,Category: Maintenance of Public Properties,Category: Maintenance of Public Properties,,,,
Contact:,James Wilson,James Wilson,,,,,,,,and Performance Support,,,,
Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,,District: City-wide,District: City-wide,,,,,
Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,,
,,,,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,
Replace,"unsightly,",overgrown,"shrubs,",flower,beds,and,ground,covers,at selected,public facilities,"city-wide, major",,,
"thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,",,,
mulch and irrigation systems in highly visible areas.,mulch and irrigation systems in highly visible areas.,mulch and irrigation systems in highly visible areas.,mulch and irrigation systems in highly visible areas.,mulch and irrigation systems in highly visible areas.,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,Neglect of maintenance leads to safety issues such as the blockage,,,
of street and building signage.,of street and building signage.,of street and building signage.,,,,,,,,,,,,
,,,,,,,,,,,,,,Illustrative
,,Expenditures,Expenditures,,,,Amount,Amount,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,,,,,,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,,,,,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,,,,,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,,,,,0,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,Building/Utility/Construction,,,,,,,0,0,0,0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,,,,,,0,0,0,0,0,0
Other Costs,,,,,,,,"600,000","600,000",0,"200,000","200,000",0,"200,000"
