Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”,Name: “Table 1 of 1 on page 67 of 124”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,
,,Project Information,Project Information,,,,,,
Name:,Pre-Wiring of Critical Facilities for Generator Service,Pre-Wiring of Critical Facilities for Generator Service,Pre-Wiring of Critical Facilities for Generator Service,,Category: Public Safety,,,,
Contact:,Acting Fire Chief Tracy Hanger,,,,District:,City-wide,,,
Department: Fire and Rescue Division ~ (757) 727-6580,Department: Fire and Rescue Division ~ (757) 727-6580,,,,,,,,
Project Description and Scope,Project Description and Scope,,,,,,,,
,,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,
"Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency","Pre-wire critical facilities (schools, fire stations, police precincts, community centers, social services office) for emergency",,,
"generators which, when needed, will be obtained by a contingency contract.","generators which, when needed, will be obtained by a contingency contract.","generators which, when needed, will be obtained by a contingency contract.","generators which, when needed, will be obtained by a contingency contract.",Prolonged loss of electrical power during or,Prolonged loss of electrical power during or,Prolonged loss of electrical power during or,,,
following an emergency is a significant public health risk.,following an emergency is a significant public health risk.,Pre-wired facilities provide reliable power sources to meet,Pre-wired facilities provide reliable power sources to meet,Pre-wired facilities provide reliable power sources to meet,Pre-wired facilities provide reliable power sources to meet,Pre-wired facilities provide reliable power sources to meet,,,
"critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to","critical medical needs and enable City shelters to provide lighting, communications and food preparation abilities to",,,
evacuees.,,,,,,,,,
,Expenditures,,Amount,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,,,0,0,0,0,0,0
