Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,,,,,,,,,,
,,,,,Project Information,Project Information,Project Information,Project Information,,,,,,,,,,,
Name:,Strategic Property Acquisition(s),Strategic Property Acquisition(s),Strategic Property Acquisition(s),Strategic Property Acquisition(s),,,,Category: Other CIP Projects,Category: Other CIP Projects,Category: Other CIP Projects,Category: Other CIP Projects,Category: Other CIP Projects,Category: Other CIP Projects,,,,,,
Contact:,James A. Peterson,James A. Peterson,James A. Peterson,James A. Peterson,,,,District:,District:,n/a,,,,,,,,,
Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,,,,,,,,,,,,,
Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,,,,,,
,,,,,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,
Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,Six strategic investment areas have been identified as being critical to Hampton's continued economic vitality.,They are,They are,,,
"Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.","Coliseum Central, Downtown, Buckroe, Phoebus, Kecoughtan Road and North King Street corridors.",Project funding will,Project funding will,Project funding will,,,
provide,needed,capital,to,acquire,land/property,in,the,aforementioned,strategic,strategic,areas,in,order,to,facilitate,the,,,
redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,redevelopment of these areas in re-defining the overall image of the City.,,,,,,,,,,,
,,Expenditures,Expenditures,Expenditures,,,,Amount,,,FY 2011,FY 2011,,,FY 2012,,FY 2013,FY 2014,FY 2015
