Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”,Name: “Table 1 of 1 on page 97 of 124”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,,Contingency List,,,,,
,,,,,,,,TOTAL
PROJECT,DEPARTMENT,DESCRIPTION,FY11,FY12,FY13,FY14,FY15,
,,,,,,,,REQUEST
CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd),,,,,,
,,In accordance with the recommendations of the Mary Peake,,,,,,
,,"Regional Storm Water Study, this project will make system",,,,,,
,,improvements to the City's storm sewer system downstream,,,,,,
Forrest Elementary Detention,Public Works -,,,,,,,
,,"of the Todds Lane/Big Bethel Road intersection, which",0,0,"110,000","1,800,000",0,"1,910,000"
Basin,Engineering,,,,,,,
,,"experiences flooding during heavy rain storms. In addition, a",,,,,,
,,detention pond will be constructed for quantity and quality,,,,,,
,,improvements to the stormwater runoff.,,,,,,
,,Conduct a historical assessment and conditional survey of,,,,,,
Fort Wool,Parks & Recreation,,"150,000","1,000,000","1,000,000","1,000,000","1,000,000","4,150,000"
,,"the fort, buildings and structures.",,,,,,
Gosnold Hope Park,,Redesign Gosnold's Hope Park to better utilize the park,,,,,,
,Parks & Recreation,,0,"1,000,000","1,000,000","1,000,000",0,"3,000,000"
Redevelopment,,areas.,,,,,,
,,Renovate the existing park as the Old Hampton Community,,,,,,
Grant Park Renovations,Parks & Recreation,,0,"1,500,000",0,0,0,"1,500,000"
,,Center is reconstructed.,,,,,,
,,Demolish existing facilities and construct a new,,,,,,
Grundland Creek Park,Parks & Recreation,environmental nature center and neighborhood resource,"600,000","6,000,000",0,0,0,"6,600,000"
,,center.,,,,,,
,,Upgrade Museum exhibits to include more interactive,,,,,,
,,"materials, exhibit cases for second floor changing gallery,",,,,,,
Hampton History Museum,Parks & Recreation,installation of freight elevator and purchase existing,"150,000","200,000","650,000","1,500,000",0,"2,500,000"
,,warehouse storage for all large objects of collection in one,,,,,,
,,secure and controlled location.,,,,,,
,,Expansion to include a floating pier with electrical and water,,,,,,
,Downtown Hampton,hook-ups capable of mooring 24 transient recreational,,,,,,
Hampton Public Piers,,,,,,,,
,Development,vessels 26 feet in length or longer. Construct permanent,"118,900","118,900","118,900",0,0,"356,700"
Expansion Project,,,,,,,,
,Partnership,"restroom facilities at Mill Point Park, adjacent to the public",,,,,,
,,Piers to include a laundry room and showers.,,,,,,
,,A/E services to study each of Hampton's 20 watersheds in an,,,,,,
,Public Works -,,,,,,,
Hampton Watershed Studies,,effort to improve the City's storm water system which will,"150,000","150,000","150,000","150,000","150,000","750,000"
,Engineering,,,,,,,
,,reduce flooding and storm water pollution.,,,,,,
,,Installation of additional lighting from the Hampton Roads,,,,,,
Lighting along Pine Chapel,Convention and,Convention Center to the Power Plant area in response to,,,,,,
,,,0,0,0,"50,000",0,"50,000"
Road,Visitor Bureau,comments from visitors and convention goers that say they,,,,,,
,,do not feel safe walking between the two areas.,,,,,,
