Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”,Name: “Table 1 of 1 on page 116 of 124”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,,,,,,,,,,,,,,,
Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,Historical Timeline 1570-2010,,,,,,"City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia","City of Hampton, Virginia",
The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the,The City of Hampton is the oldest continuous English-speaking settlement in America. It's history traces back to the
"Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued","Indian village of Kecoughtan, which was visited in 1607 by the first permanent English colonists before they continued"
up,the,James,River,to,settle,in,Jamestown.,Jamestown.,The,The,following,historical,timeline,timeline,highlights,highlights,just,just,just,some,of,the,major,major
milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,milestones and events that have occurred in the City's past up to its present day.,,,,,,,,,,,
1570,1570,Spanish arrive at Kecoughtan.,Spanish arrive at Kecoughtan.,Spanish arrive at Kecoughtan.,Spanish arrive at Kecoughtan.,Spanish arrive at Kecoughtan.,Spanish arrive at Kecoughtan.,,,,,1632,,,,,,,,,,,,
1606,1606,Under,command,command,of,Christopher,Christopher,Christopher,"Newport,","Newport,",,,,,,,,,,,,,,
,,105,men,embarked,embarked,in,vessels,to,form,the,,,,,,,,,,,,,,
